Name,FileName,ExportName,TileWidth,TileHeight,Capacity,TimeMin,TimeSec,ShopIconExportName,BrokenPartCount,BrokenExportName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound,FullIconExportName,TID
String,String,String,int,int,int,int,int,String,int,String,String,String,String,String,String,String,String,String
Silo,sc/buildings_new.sc,silo_01,2,2,50,,,shop_icon_silo,4,silo_01_broken,repairsmoke_01_edit_for_silo,Nail,Screw,Wood Panel,MenuBleep,CoinXpExplosion,popup_silo_full,TID_SILO
,,silo_02,,,75,,,,,,,,,,,,,
,,silo_02,,,100,,,,,,,,,,,,,
,,silo_02,,,125,,,,,,,,,,,,,
,,silo_03,,,150,,,,,,,,,,,,,
,,silo_03,,,175,,,,,,,,,,,,,
,,silo_03,,,200,,,,,,,,,,,,,
,,silo_03,,,225,,,,,,,,,,,,,
,,silo_03,,,250,,,,,,,,,,,,,
,,silo_03,,,275,,,,,,,,,,,,,
,,silo_04,,,300,,,,,,,,,,,,,
,,silo_04,,,325,,,,,,,,,,,,,
,,silo_04,,,350,,,,,,,,,,,,,
,,silo_04,,,375,,,,,,,,,,,,,
,,silo_04,,,400,,,,,,,,,,,,,
,,silo_04,,,425,,,,,,,,,,,,,
,,silo_04,,,450,,,,,,,,,,,,,
,,silo_04,,,475,,,,,,,,,,,,,
,,silo_04,,,500,,,,,,,,,,,,,
,,silo_04,,,525,,,,,,,,,,,,,
,,silo_04,,,550,,,,,,,,,,,,,
,,silo_04,,,575,,,,,,,,,,,,,
,,silo_04,,,600,,,,,,,,,,,,,
,,silo_04,,,625,,,,,,,,,,,,,
,,silo_04,,,650,,,,,,,,,,,,,
,,silo_04,,,675,,,,,,,,,,,,,
,,silo_04,,,700,,,,,,,,,,,,,
,,silo_04,,,725,,,,,,,,,,,,,
,,silo_04,,,750,,,,,,,,,,,,,
,,silo_04,,,775,,,,,,,,,,,,,
,,silo_04,,,800,,,,,,,,,,,,,
,,silo_04,,,825,,,,,,,,,,,,,
,,silo_04,,,850,,,,,,,,,,,,,
,,silo_04,,,875,,,,,,,,,,,,,
,,silo_04,,,900,,,,,,,,,,,,,
,,silo_04,,,925,,,,,,,,,,,,,
,,silo_04,,,950,,,,,,,,,,,,,
,,silo_04,,,975,,,,,,,,,,,,,
,,silo_04,,,1000,,,,,,,,,,,,,
,,silo_04,,,1050,,,,,,,,,,,,,
,,silo_04,,,1100,,,,,,,,,,,,,
,,silo_04,,,1150,,,,,,,,,,,,,
,,silo_04,,,1200,,,,,,,,,,,,,
,,silo_04,,,1250,,,,,,,,,,,,,
,,silo_04,,,1300,,,,,,,,,,,,,
,,silo_04,,,1350,,,,,,,,,,,,,
,,silo_04,,,1400,,,,,,,,,,,,,
,,silo_04,,,1450,,,,,,,,,,,,,
,,silo_04,,,1500,,,,,,,,,,,,,
,,silo_04,,,1550,,,,,,,,,,,,,
,,silo_04,,,1600,,,,,,,,,,,,,
,,silo_04,,,1650,,,,,,,,,,,,,
,,silo_04,,,1700,,,,,,,,,,,,,
,,silo_04,,,1750,,,,,,,,,,,,,
,,silo_04,,,1800,,,,,,,,,,,,,
,,silo_04,,,1850,,,,,,,,,,,,,
,,silo_04,,,1900,,,,,,,,,,,,,
,,silo_04,,,1950,,,,,,,,,,,,,
,,silo_04,,,2000,,,,,,,,,,,,,
,,silo_04,,,2050,,,,,,,,,,,,,
,,silo_04,,,2100,,,,,,,,,,,,,
,,silo_04,,,2150,,,,,,,,,,,,,
,,silo_04,,,2200,,,,,,,,,,,,,
,,silo_04,,,2250,,,,,,,,,,,,,
,,silo_04,,,2300,,,,,,,,,,,,,
,,silo_04,,,2350,,,,,,,,,,,,,
,,silo_04,,,2400,,,,,,,,,,,,,
,,silo_04,,,2450,,,,,,,,,,,,,
,,silo_04,,,2500,,,,,,,,,,,,,
,,silo_04,,,2550,,,,,,,,,,,,,
,,silo_04,,,2600,,,,,,,,,,,,,
,,silo_04,,,2650,,,,,,,,,,,,,
,,silo_04,,,2700,,,,,,,,,,,,,
,,silo_04,,,2750,,,,,,,,,,,,,
,,silo_04,,,2800,,,,,,,,,,,,,
,,silo_04,,,2850,,,,,,,,,,,,,
,,silo_04,,,2900,,,,,,,,,,,,,
,,silo_04,,,2950,,,,,,,,,,,,,
,,silo_04,,,3000,,,,,,,,,,,,,
,,silo_04,,,3050,,,,,,,,,,,,,
,,silo_04,,,3100,,,,,,,,,,,,,
,,silo_04,,,3150,,,,,,,,,,,,,
,,silo_04,,,3200,,,,,,,,,,,,,
,,silo_04,,,3250,,,,,,,,,,,,,
,,silo_04,,,3300,,,,,,,,,,,,,
,,silo_04,,,3350,,,,,,,,,,,,,
,,silo_04,,,3400,,,,,,,,,,,,,
,,silo_04,,,3450,,,,,,,,,,,,,
,,silo_04,,,3500,,,,,,,,,,,,,
,,silo_04,,,3550,,,,,,,,,,,,,
,,silo_04,,,3600,,,,,,,,,,,,,
,,silo_04,,,3650,,,,,,,,,,,,,
,,silo_04,,,3700,,,,,,,,,,,,,
,,silo_04,,,3750,,,,,,,,,,,,,
,,silo_04,,,3800,,,,,,,,,,,,,
,,silo_04,,,3850,,,,,,,,,,,,,
,,silo_04,,,3900,,,,,,,,,,,,,
,,silo_04,,,3950,,,,,,,,,,,,,
,,silo_04,,,4000,,,,,,,,,,,,,
,,silo_04,,,4050,,,,,,,,,,,,,
,,silo_04,,,4100,,,,,,,,,,,,,
,,silo_04,,,4150,,,,,,,,,,,,,
,,silo_04,,,4200,,,,,,,,,,,,,
,,silo_04,,,4250,,,,,,,,,,,,,
,,silo_04,,,4300,,,,,,,,,,,,,
,,silo_04,,,4350,,,,,,,,,,,,,
,,silo_04,,,4400,,,,,,,,,,,,,
,,silo_04,,,4450,,,,,,,,,,,,,
,,silo_04,,,4500,,,,,,,,,,,,,
,,silo_04,,,4550,,,,,,,,,,,,,
,,silo_04,,,4600,,,,,,,,,,,,,
,,silo_04,,,4650,,,,,,,,,,,,,
,,silo_04,,,4700,,,,,,,,,,,,,
,,silo_04,,,4750,,,,,,,,,,,,,
,,silo_04,,,4800,,,,,,,,,,,,,
,,silo_04,,,4850,,,,,,,,,,,,,
,,silo_04,,,4900,,,,,,,,,,,,,
,,silo_04,,,4950,,,,,,,,,,,,,
,,silo_04,,,5000,,,,,,,,,,,,,
,,silo_04,,,5050,,,,,,,,,,,,,
,,silo_04,,,5100,,,,,,,,,,,,,
,,silo_04,,,5150,,,,,,,,,,,,,
,,silo_04,,,5200,,,,,,,,,,,,,
,,silo_04,,,5250,,,,,,,,,,,,,
,,silo_04,,,5300,,,,,,,,,,,,,
,,silo_04,,,5350,,,,,,,,,,,,,
,,silo_04,,,5400,,,,,,,,,,,,,
,,silo_04,,,5450,,,,,,,,,,,,,
,,silo_04,,,5500,,,,,,,,,,,,,
,,silo_04,,,5550,,,,,,,,,,,,,
,,silo_04,,,5600,,,,,,,,,,,,,
,,silo_04,,,5650,,,,,,,,,,,,,
,,silo_04,,,5700,,,,,,,,,,,,,
,,silo_04,,,5750,,,,,,,,,,,,,
,,silo_04,,,5800,,,,,,,,,,,,,
,,silo_04,,,5850,,,,,,,,,,,,,
,,silo_04,,,5900,,,,,,,,,,,,,
,,silo_04,,,5950,,,,,,,,,,,,,
,,silo_04,,,6000,,,,,,,,,,,,,
,,silo_04,,,6050,,,,,,,,,,,,,
,,silo_04,,,6100,,,,,,,,,,,,,
,,silo_04,,,6150,,,,,,,,,,,,,
,,silo_04,,,6200,,,,,,,,,,,,,
,,silo_04,,,6250,,,,,,,,,,,,,
,,silo_04,,,6300,,,,,,,,,,,,,
,,silo_04,,,6350,,,,,,,,,,,,,
,,silo_04,,,6400,,,,,,,,,,,,,
,,silo_04,,,6450,,,,,,,,,,,,,
,,silo_04,,,6500,,,,,,,,,,,,,
,,silo_04,,,6550,,,,,,,,,,,,,
,,silo_04,,,6600,,,,,,,,,,,,,
,,silo_04,,,6650,,,,,,,,,,,,,
,,silo_04,,,6700,,,,,,,,,,,,,
,,silo_04,,,6750,,,,,,,,,,,,,
,,silo_04,,,6800,,,,,,,,,,,,,
,,silo_04,,,6850,,,,,,,,,,,,,
,,silo_04,,,6900,,,,,,,,,,,,,
,,silo_04,,,6950,,,,,,,,,,,,,
,,silo_04,,,7000,,,,,,,,,,,,,
,,silo_04,,,7050,,,,,,,,,,,,,
,,silo_04,,,7100,,,,,,,,,,,,,
,,silo_04,,,7150,,,,,,,,,,,,,
,,silo_04,,,7200,,,,,,,,,,,,,
,,silo_04,,,7250,,,,,,,,,,,,,
,,silo_04,,,7300,,,,,,,,,,,,,
,,silo_04,,,7350,,,,,,,,,,,,,
,,silo_04,,,7400,,,,,,,,,,,,,
,,silo_04,,,7450,,,,,,,,,,,,,
,,silo_04,,,7500,,,,,,,,,,,,,
,,silo_04,,,7550,,,,,,,,,,,,,
,,silo_04,,,7600,,,,,,,,,,,,,
,,silo_04,,,7650,,,,,,,,,,,,,
,,silo_04,,,7700,,,,,,,,,,,,,
,,silo_04,,,7750,,,,,,,,,,,,,
,,silo_04,,,7800,,,,,,,,,,,,,
,,silo_04,,,7850,,,,,,,,,,,,,
,,silo_04,,,7900,,,,,,,,,,,,,
,,silo_04,,,7950,,,,,,,,,,,,,
,,silo_04,,,8000,,,,,,,,,,,,,
,,silo_04,,,8050,,,,,,,,,,,,,
,,silo_04,,,8100,,,,,,,,,,,,,
,,silo_04,,,8150,,,,,,,,,,,,,
,,silo_04,,,8200,,,,,,,,,,,,,
,,silo_04,,,8250,,,,,,,,,,,,,
,,silo_04,,,8300,,,,,,,,,,,,,
,,silo_04,,,8350,,,,,,,,,,,,,
,,silo_04,,,8400,,,,,,,,,,,,,
,,silo_04,,,8450,,,,,,,,,,,,,
,,silo_04,,,8500,,,,,,,,,,,,,
,,silo_04,,,8550,,,,,,,,,,,,,
,,silo_04,,,8600,,,,,,,,,,,,,
,,silo_04,,,8650,,,,,,,,,,,,,
,,silo_04,,,8700,,,,,,,,,,,,,
,,silo_04,,,8750,,,,,,,,,,,,,
