"Name","FileNames","MinVolume","MaxVolume","FileNameLite","MinVolumeLite","MaxVolumeLite","FadeOutRadius","MaxVolumeRadius","MinPitch","MaxPitch","IsMusic"
"String","String","int","int","String","int","int","int","int","int","int","boolean"
"CuttingCrop","audio/sfx/wav/cutting_crop_1.wav",77,80,,,,2,10,96,108,
,"audio/sfx/wav/cutting_crop_2.wav",77,80,,,,2,10,96,108,
"SickleBeginCutting","audio/sfx/wav/sickle_begin_cutting.wav",100,101,,,,2,10,100,100,
"EarningMoney","audio/sfx/wav/earn_money_01_new.wav",48,48,,,,100,100,96,108,
,"audio/sfx/wav/earn_money_02_new.wav",48,48,,,,100,100,96,108,
"GettingXP","audio/sfx/wav/gain_xp_temp_03.wav",100,100,,,,100,100,98,106,
"LevelUp","audio/sfx/wav/level_up_04.wav",65,65,,,,100,100,100,100,
"MenuBleep","audio/sfx/wav/menu_bleep.wav",56,56,,,,100,100,100,100,
"CarLoop","audio/sfx/wav/car_loop_2.wav",37,37,,,,1,10,100,100,
"CarHorn","audio/sfx/wav/car_horn.wav",22,22,,,,2,11,100,100,
"BigPineTap","audio/sfx/wav/big_pine.wav",45,45,,,,2,10,96,108,
"SmallPineCollect","audio/sfx/wav/small_pine_axe_fall_01.wav",55,55,,,,2,10,96,108,
"BigPineCollect","audio/sfx/wav/big_pine_saw_fall_01.wav",55,55,,,,2,10,96,108,
"BigRockCollect","audio/sfx/wav/rock_deto_blast_01.wav",61,61,,,,2,10,96,108,
"BigRockTap","audio/sfx/wav/big_rock_hit.wav",26,26,,,,2,10,96,108,
"BigSwampTap","audio/sfx/wav/big_swamp_step.wav",37,37,,,,2,10,96,108,
"BigSwampCollect","audio/sfx/wav/swamp_dig_collect_01.wav",41,41,,,,2,10,96,108,
"BakeryTap","audio/sfx/wav/bakery_door_1.wav",34,34,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"ConstructionSite","audio/sfx/wav/construction_site_newer_02.wav",89,89,,,,2,10,96,108,
"CropIntoSilo","audio/sfx/wav/crop_into_silo_1.wav",52,52,,,,100,100,96,108,
,"audio/sfx/wav/crop_into_silo_2.wav",52,52,,,,100,100,96,108,
"River","audio/sfx/wav/river_temp_03.wav",19,19,,,,3,6,100,100,
"LoomTap","audio/sfx/wav/loom.wav",60,60,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"LoomTapProcessing","audio/sfx/wav/loom_loop_new.wav",60,60,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"PopcornPotTap","audio/sfx/wav/popcorn_pot_metal_pot.wav",34,34,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"PopcornPotTapProcessing","audio/sfx/wav/popcorn_pot_processing_02.wav",77,77,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"DairyTap","audio/sfx/wav/select_hihna_kolisee_02.wav",50,50,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"DairyTapProcessing","audio/sfx/wav/rullahihna_loop_2_new_02.wav",46,46,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SugarmillTap","audio/sfx/wav/sugarmill.wav",100,100,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SugarmillTapProcessing","audio/sfx/wav/sugarmill_loop_new.wav",100,100,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"BarbecueTapProcessing","audio/sfx/wav/paistuu_02.wav",64,64,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SelectBakeryInProgress","audio/sfx/wav/bakery.wav",43,43,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SelectCakeOwenIdle","audio/sfx/wav/luukku_2.wav",52,52,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SelectPieOwenIdle","audio/sfx/wav/luukku_2.wav",52,52,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"InstantComplete","audio/sfx/wav/magic_03.wav",42,42,,,,100,100,100,100,
"SelectDraggableItem","audio/sfx/wav/menu_ingame_pause_open.wav",44,44,,,,100,100,100,100,
"OKButton","audio/sfx/wav/menu_switch.wav",33,33,,,,100,100,100,100,
"FrogTap","audio/sfx/wav/frog_temp_01.wav",15,15,,,,3,10,95,112,
"Collect","audio/sfx/wav/collect_new_temp_01.wav",56,56,,,,100,100,96,108,
,"audio/sfx/wav/collect_new_temp_02.wav",56,56,,,,100,100,96,108,
"SelectCakeOwenProcess","audio/sfx/wav/cake_in_owen_new_01.wav",72,72,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SelecPieOwenProcess","audio/sfx/wav/cake_in_owen_new_01.wav",78,78,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"RandomPigs","audio/sfx/wav/possuja_02.wav",37,37,,,,1,14,96,108,
"RandomCow","audio/sfx/wav/cows_new.wav",36,36,,,,1,14,96,108,
"RandomChicken","audio/sfx/wav/chickens_02.wav",33,33,,,,1,14,96,108,
"RandomSheep","audio/sfx/wav/sheep_herd_03.wav",28,28,,,,1,14,96,108,
"HammermillTap","audio/sfx/wav/food_mix_wooden_spoon.wav",85,85,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"HammerMillTapProcessing","audio/sfx/wav/food_mixer_loop_new.wav",85,85,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"Buy","audio/sfx/wav/earning_money_2.wav",45,45,,,,100,100,96,108,
"CoinXpExplosion","audio/sfx/wav/coin_xp_explo_temp_02.wav",66,66,,,,100,100,100,100,
