Name,StartDate,StartHour,EndDate,EndHour,LevelLimit,ExportNamePostfix,Enabled
String,String,int,String,int,int,String,boolean
Halloween,2013-10-1,,2013-11-12,,9,_halloween,true
Christmas,2013-12-1,,2013-12-27,,9,,true
NewYear,2013-12-28,,2014-1-3,,9,,true
Summer,2014-6-16,,2014-8-31,,9,_summer,true
Halloween2014,2014-10-23,,2014-10-23,,9,_halloween,true
Winter2014_part1,2014-11-11,,2014-11-30,,9,_winter,true
Christmas2014,2014-12-01,,2014-12-26,,9,_winter,true
NewYear2014,2014-12-27,,2015-01-02,,9,_winter,true
Winter2014_part2,2015-01-03,,2015-01-27,,9,_winter,true
ChineseNewYear,2015-02-18,,2015-02-21,,9,,true
Easter2015,2015-03-27,,2015-04-06,,9,,true
Summer2015,2015-6-15,,2015-8-31,,9,_summer,true
Halloween2015,2015-10-07,,2015-11-02,11,9,_halloween,true
Winter2015_part1,2015-11-16,,2015-12-01,11,9,_winter,true
Christmas2015,2015-12-01,11,2015-12-27,11,9,_winter,true
NewYear2015,2015-12-27,11,2016-01-05,11,9,_winter,true
Winter2015_part2,2016-01-05,11,2016-02-01,11,9,_winter,true
ChineseNewYear2016,2016-01-29,11,2016-02-09,11,9,,true
Easter2016,2016-03-14,11,2016-04-01,11,9,,true
Summer2016,2016-06-20,11,2016-08-31,11,9,_summer,true
Halloween2016,2016-10-04,11,2016-11-03,11,9,_halloween,true
Autumn2016,2016-11-03,11,2016-11-15,11,9,_autumn,true
Winter2016,2016-11-15,11,2016-11-30,11,9,_winter,true
Christmas2016,2016-11-30,11,2016-12-27,11,9,_winter,true
NewYear2016,2016-12-27,11,2017-01-05,11,9,_winter,true
Winter2016_part2,2017-01-05,11,2017-01-30,11,9,_winter,true
Valentines2017,2017-02-01,11,2017-02-14,11,9,,true
Easter2017,2017-04-04,11,2017-04-17,11,9,,true
Summer2017,2017-06-20,11,2017-08-31,11,9,_summer,true
