Name,Tool,Amount,NormalPrice,DiscountPrice,DiscountPercent,LevelEnabled,LevelDisabled,DurationMinutes,Spender,Enabled
String,String,int,int,int,int,int,int,int,Boolean,Boolean
Saw_Spender_1,Saw,12,60,36,40,7,10,1200,true,false
Saw_Spender_2,Saw,16,80,44,45,7,10,1200,true,true
Saw_Spender_3,Saw,16,80,48,40,10,20,1200,true,false
Saw_Spender_4,Saw,20,100,55,45,10,20,1200,true,true
Saw_Spender_5,Saw,16,80,40,50,20,30,1200,true,true
Saw_Spender_6,Saw,12,60,33,45,20,30,1200,true,false
Saw_Spender_7,Saw,20,100,55,45,30,40,1200,true,false
Saw_Spender_8,Saw,20,100,50,50,30,40,1200,true,true
Saw_Spender_9,Saw,20,100,55,45,40,50,1200,true,false
Saw_Spender_10,Saw,16,80,44,45,40,50,1200,true,true
Saw_Spender_11,Saw,20,100,55,45,50,,1200,true,false
Saw_Spender_12,Saw,16,80,44,45,50,,1200,true,true
,,,,,,,,,,
Axe_Spender_1,Axe,20,80,44,45,7,10,1200,true,false
Axe_Spender_2,Axe,10,40,24,40,7,10,1200,true,true
Axe_Spender_3,Axe,20,80,44,45,10,20,1200,true,true
Axe_Spender_4,Axe,15,60,36,40,10,20,1200,true,false
Axe_Spender_5,Axe,20,80,44,45,20,30,1200,true,false
Axe_Spender_6,Axe,15,60,33,45,20,30,1200,true,true
Axe_Spender_7,Axe,20,80,40,50,30,40,1200,true,true
Axe_Spender_8,Axe,15,60,33,45,30,40,1200,true,false
Axe_Spender_9,Axe,20,80,44,45,40,50,1200,true,false
Axe_Spender_10,Axe,15,60,33,45,40,50,1200,true,true
Axe_Spender_11,Axe,20,80,44,45,50,,1200,true,false
Axe_Spender_12,Axe,15,60,33,45,50,,1200,true,true
,,,,,,,,,,
Dynamite_Spender_1,Dynamite,20,60,18,70,7,10,1200,true,true
Dynamite_Spender_2,Dynamite,16,48,19,60,7,10,1200,true,false
Dynamite_Spender_3,Dynamite,16,48,19,60,10,20,1200,true,true
Dynamite_Spender_4,Dynamite,20,60,18,70,10,20,1200,true,false
Dynamite_Spender_5,Dynamite,20,60,18,70,20,30,1200,true,true
Dynamite_Spender_6,Dynamite,16,48,24,50,20,30,1200,true,false
Dynamite_Spender_7,Dynamite,16,48,19,60,30,40,1200,true,false
Dynamite_Spender_8,Dynamite,20,60,18,70,30,40,1200,true,true
Dynamite_Spender_9,Dynamite,20,60,18,70,40,50,1200,true,false
Dynamite_Spender_10,Dynamite,16,48,19,60,40,50,1200,true,true
Dynamite_Spender_11,Dynamite,20,60,24,60,50,,1200,true,true
Dynamite_Spender_12,Dynamite,16,48,19,60,50,,1200,true,false
,,,,,,,,,,
DemolitionCharge_Spender_1,Demolition Charge,16,112,45,60,7,10,1200,true,true
DemolitionCharge_Spender_2,Demolition Charge,20,140,56,60,7,10,1200,true,false
DemolitionCharge_Spender_3,Demolition Charge,16,112,34,70,10,20,1200,true,true
DemolitionCharge_Spender_4,Demolition Charge,12,84,42,50,10,20,1200,true,false
DemolitionCharge_Spender_5,Demolition Charge,20,140,56,60,20,30,1200,true,false
DemolitionCharge_Spender_6,Demolition Charge,10,70,28,60,20,30,1200,true,true
DemolitionCharge_Spender_7,Demolition Charge,16,112,45,60,30,40,1200,true,false
DemolitionCharge_Spender_8,Demolition Charge,20,140,42,70,30,40,1200,true,true
DemolitionCharge_Spender_9,Demolition Charge,20,140,70,50,40,50,1200,true,false
DemolitionCharge_Spender_10,Demolition Charge,16,112,56,50,40,50,1200,true,true
DemolitionCharge_Spender_11,Demolition Charge,16,112,56,50,50,,1200,true,false
DemolitionCharge_Spender_12,Demolition Charge,20,140,56,60,50,,1200,true,true
,,,,,,,,,,
Shovel_Spender_1,Shovel,12,120,60,50,7,10,1200,true,false
Shovel_Spender_2,Shovel,20,200,60,70,7,10,1200,true,true
Shovel_Spender_3,Shovel,16,160,48,70,10,20,1200,true,true
Shovel_Spender_4,Shovel,12,120,48,60,10,20,1200,true,false
Shovel_Spender_5,Shovel,20,200,80,60,20,30,1200,true,false
Shovel_Spender_6,Shovel,9,90,36,60,20,30,1200,true,true
Shovel_Spender_7,Shovel,20,200,60,70,30,40,1200,true,false
Shovel_Spender_8,Shovel,16,160,64,60,30,40,1200,true,true
Shovel_Spender_9,Shovel,16,160,80,50,40,50,1200,true,false
Shovel_Spender_10,Shovel,20,200,80,60,40,50,1200,true,true
Shovel_Spender_11,Shovel,20,200,80,60,50,,1200,true,false
Shovel_Spender_12,Shovel,12,120,60,50,50,,1200,true,true
,,,,,,,,,,
Saw_NonBuyer_1,Saw,9,45,18,60,7,10,1200,false,false
Saw_NonBuyer_2,Saw,5,25,10,60,7,10,1200,false,true
Saw_NonBuyer_3,Saw,5,25,10,60,10,20,1200,false,false
Saw_NonBuyer_4,Saw,9,45,18,60,10,20,1200,false,true
Saw_NonBuyer_5,Saw,5,25,10,60,20,30,1200,false,true
Saw_NonBuyer_6,Saw,9,45,18,60,20,30,1200,false,false
Saw_NonBuyer_7,Saw,5,25,10,60,30,40,1200,false,false
Saw_NonBuyer_8,Saw,9,45,18,60,30,40,1200,false,true
Saw_NonBuyer_9,Saw,9,45,18,60,40,50,1200,false,false
Saw_NonBuyer_10,Saw,5,25,10,60,40,50,1200,false,true
Saw_NonBuyer_11,Saw,12,60,24,60,50,,1200,false,true
Saw_NonBuyer_12,Saw,5,25,10,60,50,,1200,false,false
,,,,,,,,,,
Axe_NonBuyer_1,Axe,5,20,8,60,7,10,1200,false,true
Axe_NonBuyer_2,Axe,8,32,13,60,7,10,1200,false,false
Axe_NonBuyer_3,Axe,5,20,8,60,10,20,1200,false,false
Axe_NonBuyer_4,Axe,10,40,16,60,10,20,1200,false,true
Axe_NonBuyer_5,Axe,5,20,8,60,20,30,1200,false,false
Axe_NonBuyer_6,Axe,10,40,16,60,20,30,1200,false,true
Axe_NonBuyer_7,Axe,5,20,8,60,30,40,1200,false,true
Axe_NonBuyer_8,Axe,10,40,16,60,30,40,1200,false,false
Axe_NonBuyer_9,Axe,8,32,13,60,40,50,1200,false,true
Axe_NonBuyer_10,Axe,10,40,16,60,40,50,1200,false,false
Axe_NonBuyer_11,Axe,10,40,16,60,50,,1200,false,false
Axe_NonBuyer_12,Axe,5,20,8,60,50,,1200,false,true
,,,,,,,,,,
Dynamite_NonBuyer_1,Dynamite,12,36,7,80,7,10,1200,false,false
Dynamite_NonBuyer_2,Dynamite,5,15,3,80,7,10,1200,false,true
Dynamite_NonBuyer_3,Dynamite,5,15,3,80,10,20,1200,false,false
Dynamite_NonBuyer_4,Dynamite,12,36,7,80,10,20,1200,false,true
Dynamite_NonBuyer_5,Dynamite,5,15,3,80,20,30,1200,false,true
Dynamite_NonBuyer_6,Dynamite,12,36,7,80,20,30,1200,false,false
Dynamite_NonBuyer_7,Dynamite,5,15,3,80,30,40,1200,false,false
Dynamite_NonBuyer_8,Dynamite,12,36,7,80,30,40,1200,false,true
