Name,CollectionTool,CollectionToolAmount,TapSound,LimitedCollectionTool,LimitedCollectionToolAmount,IsBeach
String,String,int,String,String,int,boolean
1,Map Piece,4,MenuBleep,,,
,Land Deed,4,,,,
,Mallet,4,,,,
2,Map Piece,5,MenuBleep,,,
,Land Deed,5,,,,
,Marker Stake,5,,,,
3,Map Piece,20,MenuBleep,,,TRUE
,Mallet,20,,,,
,Marker Stake,20,,,,
4,Map Piece,16,MenuBleep,,,TRUE
,Land Deed,16,,,,
,Mallet,16,,,,
5,Map Piece,4,MenuBleep,,,
,Land Deed,4,,,,
,Marker Stake,4,,,,
6,Map Piece,14,MenuBleep,,,TRUE
,Mallet,14,,,,
,Marker Stake,14,,,,
7,Map Piece,14,MenuBleep,,,
,Land Deed,14,,,,
,Mallet,14,,,,
8,Map Piece,20,MenuBleep,,,TRUE
,Land Deed,20,,,,
,Marker Stake,20,,,,
9,Map Piece,8,MenuBleep,,,
,Mallet,8,,,,
,Marker Stake,8,,,,
10,Map Piece,7,MenuBleep,,,
,Land Deed,7,,,,
,Mallet,7,,,,
11,Map Piece,15,MenuBleep,,,
,Land Deed,15,,,,
,Marker Stake,15,,,,
12,Map Piece,17,MenuBleep,,,TRUE
,Mallet,17,,,,
,Marker Stake,17,,,,
13,Map Piece,21,MenuBleep,,,TRUE
,Land Deed,21,,,,
,Mallet,21,,,,
14,Map Piece,16,MenuBleep,,,
,Land Deed,16,,,,
,Marker Stake,16,,,,
15,Map Piece,11,MenuBleep,,,
,Mallet,11,,,,
,Marker Stake,11,,,,
16,Map Piece,15,MenuBleep,,,
,Land Deed,15,,,,
,Mallet,15,,,,
17,Map Piece,17,MenuBleep,,,
,Land Deed,17,,,,
,Marker Stake,17,,,,
18,Map Piece,7,MenuBleep,,,
,Mallet,7,,,,
,Marker Stake,7,,,,
