TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,1119,1117,1117,1117,1119,1117,1117,1017,1017,1017,917,917,917,917,917,918,917,917,1817,1817,1817,1717,1717,1717,1617,1617,1617,1617,1617,1617,1617,1617,34,43,44,44,44,44,42,42,44,44,44,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,1117,1117,1117,1117,1119,1117,1118,1017,1018,1017,919,919,917,917,917,917,917,917,1817,1817,1817,1717,1717,1717,1617,1617,1617,1617,1617,1617,1618,1617,34,43,44,44,44,44,42,42,44,44,44,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,1117,1117,1117,1117,1117,1117,1119,1019,1017,1017,917,917,917,917,917,917,919,919,1819,1817,1818,1717,1717,1719,1617,1617,1617,1617,1617,1619,1617,1617,34,43,43,43,43,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,717,717,719,1117,1117,1118,1019,1017,1019,917,917,917,1817,1817,1817,1817,1818,1817,1817,1817,1717,1717,1717,1717,1719,1719,1717,1717,1617,1617,1619,34,43,43,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,717,719,717,1117,1117,1117,1017,1018,1017,917,917,919,1817,1819,1817,1817,1818,1818,1817,1817,1717,1717,1717,1717,1717,1717,1717,1717,1617,1617,1617,34,43,43,43,44,44,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,719,717,717,717,1117,1118,1117,1018,1017,1017,917,917,917,1817,1817,1817,1817,1817,1817,1817,1818,1717,1717,1718,1717,1717,1717,1717,1717,1617,1617,1617,34,43,43,43,44,44,44,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,718,719,517,517,517,519,1017,1017,1017,14,14,14,14,16,15,14,14,16,14,15,14,14,1717,1717,1717,1717,1717,1717,1619,1617,1618,45,45,43,43,44,44,44,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,717,719,517,517,517,519,14,14,15,14,15,15,14,14,14,14,15,14,14,14,14,14,16,14,14,1517,1517,1517,1517,1519,1517,45,45,43,44,44,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,718,717,519,519,517,517,14,16,14,14,14,14,14,16,14,14,14,14,14,14,15,14,14,14,16,1517,1517,1519,1517,1519,1517,45,45,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,718,717,517,518,517,16,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,1519,1519,1517,1517,1517,1519,45,45,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,718,717,717,517,517,517,15,14,14,14,14,14,14,14,14,15,14,16,16,14,14,14,14,14,14,14,1517,1517,1517,1517,1517,1517,45,45,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,717,718,717,518,517,519,14,14,14,14,16,14,14,14,14,14,14,14,14,16,14,14,14,14,14,14,1418,1417,1419,1518,1518,1517,45,45,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,117,117,117,117,117,119,14,15,14,14,14,14,16,16,14,14,14,14,14,14,14,16,14,14,14,14,1417,1417,1417,1519,1517,1517,45,45,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,117,117,118,119,117,117,14,14,16,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,1417,1417,1417,1417,1417,1417,45,45,43,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
