Name,Mode,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,CameraPanning,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,NetReward,PositionX,PositionY,Disabled,TargetData
String,String,String,String,String,String,String,String,String,String,int,String,String,String,String,String,String,String,int,Boolean,int,int,int,int,String,int,int,String,String,int,int,Boolean,String
Step1: Welcome,home,TID_TUTORIAL_01,,,,,,sc/humans.sc,scarecrow,1000,,,,,,,,,,10,,,8,,,,,,,,,
Step2: Harvest,home,,TID_TUTORIAL_02a,,tutorial_harvest,TID_ANIMATION_Harvest,,sc/humans.sc,scarecrow,,,,HarvestableField,,HarvestFields,,,,,10,,,9,,,,,,,,,
Step3: Seeding,home,,TID_TUTORIAL_03a,,tutorial_seeding,TID_ANIMATION_Seeding,,sc/humans.sc,scarecrow,,,,EmptyField,,PlantFields,,,,,10,,,9,,,,,,,,,
Step4: Great!,home,TID_TUTORIAL_04,,,tutorial_great,TID_ANIMATION_CropInfo,,sc/humans.sc,scarecrow,,,,,,,,,,,10,,,10,,,,,,,,,
Step5: Paint Main House,home,,TID_TUTORIAL_05a,,,,,sc/humans.sc,scarecrow,,,,MainBuilding,,FixBuilding,,,,,10,,,11,,50,,,,,,,
Step6: Paint Warehouse,home,,TID_TUTORIAL_06a,,,,,sc/humans.sc,scarecrow,,,,Warehouse,,FixBuilding,,,,,10,,,12,,,20,,,,,,
Step7: Paint Silo,home,,TID_TUTORIAL_07a,,,,,sc/humans.sc,scarecrow,,,,Silo,,FixBuilding,,,,,10,,,13,,,,,,,,,
Step8: Claim the habitat,home,TID_TUTORIAL_10,TID_TUTORIAL_47a,,,,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,ClaimFinishedBuilding,,,,,10,,,14,,,,,,,,,
Step9: Place first Chicken,home,,TID_TUTORIAL_10a,,tutorial_buy_chicken,TID_ANIMATION_BuyChicken,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,BuyAnimals,ShowShopCategoryAnimals,,1,,10,,,15,,,,,,,,,
Step10: Place second Chicken,home,,TID_TUTORIAL_11a,,,,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,BuyAnimals,ShowShopCategoryAnimals,,2,,10,,,16,,,,,,,,,
Step11: Place third Chicken,home,,TID_TUTORIAL_12a,,,,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,BuyAnimals,ShowShopCategoryAnimals,CloseShop,3,,10,,,17,,,,,,,,,
Step12: Feed 3 Chickens,home,,TID_TUTORIAL_13a,,tutorial_feed_chicken,TID_ANIMATION_FeedChicken,,sc/humans.sc,scarecrow,,,,HungryChicken,,FeedAnimals,,,3,,10,,,18,,,-40,,,,,,
Step13: Chicken Speedup1,home,,TID_TUTORIAL_14b,,,,,sc/humans.sc,scarecrow,,Step52e: Double tap info,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,10,,,19,,,-40,,,,,,
Step14: Chicken Speedup2,home,,TID_TUTORIAL_15a,,,,,sc/humans.sc,scarecrow,,Step13: Chicken Speedup1,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,10,,,20,,,-40,,,,,,
Step15: Chicken Speedup3,home,,TID_TUTORIAL_16a,,,,,sc/humans.sc,scarecrow,,Step14: Chicken Speedup2,,ProcessingChicken,,InstantComplete,SelectTargetObject,,,,10,,,21,,,-40,,,,,,
Step16: Chicken Collecting,home,,TID_TUTORIAL_17a,,tutorial_collect_chicken,TID_ANIMATION_CollectEggs,,sc/humans.sc,scarecrow,,Step15: Chicken Speedup3,,ReadyChicken,,CollectAnimal,,,,,10,,,22,,,-40,,,,,,
Step17: Guest appears,home,,TID_TUTORIAL_GUEST1,,,,,sc/humans.sc,scarecrow,,,,People,,SelectTargetSameDataType,,,,,20,,,23,A,,-90,,,,,,
Step18: Name your farm,home,TID_TUTORIAL_42,,,,,,sc/humans.sc,popup_mike,,,,,,NameFarm,OpenNameFarmScreen,,,,20,,,24,,,-90,,,,,,
Step19: Guest speaks,home,TID_TUTORIAL_45,,,,,,sc/humans.sc,popup_mike,,,,,,,,,,,20,,,25,,,,,,,,,
Step20: Guest leaves,home,,,,,,,sc/humans.sc,popup_mike,,,,People,,,,SelectTargetObject,,,20,,,26,A,,,,,,,,
Step21: Buy Bakery,home,TID_TUTORIAL_20,TID_TUTORIAL_20a,,,,,sc/humans.sc,scarecrow,1000,,,Bakery,,BuyObject,,,,,20,,,27,,,,,,,,,
Step22: Speedup Bakery,home,,TID_TUTORIAL_21a,,,,,sc/humans.sc,scarecrow,,,,Bakery,,InstantComplete,SelectTargetObject,,,,20,,,28,,,,,,,,,
Step23: Bake Bread,home,,TID_TUTORIAL_22a,,tutorial_bake_bread,TID_ANIMATION_BakeBread,,sc/humans.sc,scarecrow,,Step22: Speedup Bakery,,Bakery,,StartProduction,,,,,20,,,29,,,,,,,,,
Step24: SpeedUp Bread,home,,TID_TUTORIAL_23a,,,,,sc/humans.sc,scarecrow,,Step23: Bake Bread,,Bakery,,InstantCompleteProduct,SelectTargetObject,,,,20,,,30,,,,,,,,,
Step25: Build Feed Mill,home,TID_TUTORIAL_26,TID_TUTORIAL_26a,,,,,sc/humans.sc,scarecrow,,,,FeedMill,,BuyObject,,,,,30,,,31,,,,,,,,,
Step26: Place fields,home,TID_TUTORIAL_24,TID_TUTORIAL_24a,,,,,sc/humans.sc,scarecrow,,,,EmptyField,,BuyObject,,,9,,30,,,32,,,,,,,,,
Step27: Plant Crops,home,,TID_TUTORIAL_25a,,,,,sc/humans.sc,scarecrow,,,,EmptyField,,PlantFields,,,,,30,,,33,,,,,,,,,
Step28: Second Guest appear,home,,TID_TUTORIAL_GUEST2,,,,,sc/humans.sc,scarecrow,200,,,People,,SelectTargetSameDataType,,,,,30,,,34,B,,-120,,,,,,
Step29: Guest appear 2,home,TID_TUTORIAL_46,,,,,,sc/humans.sc,popup_joan,,,,,,,OpenPeopleBuyScreen,,,,30,,,35,B,,-120,,,,,,
Step30: Guest appear 3,home,TID_TUTORIAL_46,,,,,,sc/humans.sc,popup_joan,,,,People,,CompletePeopleOrder,,,,,30,,,36,B,,,,,,,,
Step31: General advice,home,TID_TUTORIAL_27,TID_TUTORIAL_27a,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,30,39,,37,,,,,,,,,
Step32: Car Arrives,home,TID_TUTORIAL_28,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,40,,,38,,,,,,,,,
