Name,NumberValue,BooleanValue,TextValue,NumberArray,StringArray
String,int,boolean,string,int,String
FLICK_MIN_DRAG_DIST,35,,,,
FLICK_MAX_DRAG_DIST,100,,,,
FLICK_CANCEL_AREA_RADIUS,95,,,,
FLICK_MIN_SPEED_MOD,20,,,,
FLICK_MAX_SPEED_MOD_IF_NOT_RED_ARROW,60,,,,
GAMECENTER_REAUTHORIZE,,FALSE,,,
FORCED_CHARACTER_PURCHASE,,,Wizard,,
BILLING_PACK_NAMES_FROM_CSV,,FALSE,,,
GAME_CENTER_ACHIEVEMENTS_ENABLED,,TRUE,,,
ACHIEVEMENTS_ENABLED,,TRUE,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL,14,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM,120,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE,336,,,,
BUFFER_SERVER_COMMANDS,,TRUE,,,
SHOW_IAP_NOTIFICATION_POPUP,,TRUE,,,
LOW_GFX_DEVICES,,,,,ipod1
,,,,,ipod2
,,,,,ipod3
,,,,,ipod4
,,,,,ipad1
,,,,,iphone1
,,,,,iphone2
,,,,,iphone3
LOW_MEM_DEVICES,,,,,ipod1
,,,,,ipod2
,,,,,ipod3
,,,,,ipod4
,,,,,ipad1
,,,,,iphone2
PVP_CHARACTER_OFFSET_FROM_EDGE,50,,,,
RECONNECT_AFTER_SLEEPING_SECONDS,180,,,,
RECONNECT_AFTER_SLEEPING_SECONDS_PVP,180,,,,
REPEAT_FLICK_TUTORIAL_ON_LEVEL,4,,,,
HELPSHIFT_ENABLED,,TRUE,,,
SEND_GC_ACHIEVEMENT_0_PROGRESS,,FALSE,,,
USE_GC_SEND_ALL_ACHIEVEMENTS,,TRUE,,,
SEND_GC_ACHIEVEMENT_PROGRESS_ONCE,,TRUE,,,
SWITCH_CONFIRMATION_XP_LEVEL,3,,,,
WAIT_UNTIL_DISCONNECT_FROM_PVP_LOAD_SECONDS,30,,,,
KEEPALIVE_INTERVAL_SECONDS,5,,,,
DISCONNECT_IF_KEEPALIVE_IS_BEHIND,,TRUE,,,
KEEPALIVE_TIMEOUT_PVP,12,,,,
KEEPALIVE_TIMEOUT_SINGLE,30,,,,
KEEPALIVE_SHOW_LAG_WARNING_PVP,10,,,,
VERY_FAST_FLICK_TUTORIAL_TIME_MS,125,,,,
VERY_FAST_FLICK_TUTORIAL_TIMES,3,,,,
BATTLE_RANK_UP_SCREEN_MAX_DURATION,10,,,,
CROWN_RECEIVED_SCREEN_MAX_DURATION,10,,,,
TAP_TO_CONTINUE_TEXT_AFTER_SECONDS,2,,,,
PAYMENT_LIMIT_CONFIRMATION_ENABLED,,TRUE,,,
PAYMENT_LIMIT_CONFIRMATION_USD,15000,,,,
PAYMENT_LIMIT_CONFIRMATION_TIME,15,,,,
CONFIRM_WORD_MAX_LENGTH,15,,,,
DISCONNECT_IN_APPS,,FALSE,,,
IN_APP_RETRY_LIMIT,4,,,,
RETRY_PURCHASES_IN_SHOP,,TRUE,,,
ENABLE_FACEBOOK,,TRUE,,,
ENABLE_APP_RATING_DIALOG,,TRUE,,,
APP_RATING_DIALOG_MATCH_COUNT,5,,,,
FLAG_INGAME_X_OFFSET_TOP,-46,,,,
FLAG_INGAME_Y_OFFSET_TOP,70,,,,
FLAG_INGAME_X_OFFSET_BOTTOM,-46,,,,
FLAG_INGAME_Y_OFFSET_BOTTOM,-10,,,,
ENABLE_GAMECENTER_FRIENDS,,TRUE,,,
ADVENTURE_BOY_GETS_HELMET_ON_LEVEL,4,,,,
ENABLE_SC_CACHING,,TRUE,,,
ENABLE_SC_CACHE_LOADING,,TRUE,,,
SC_CACHE_FREE_SPACE_LIMIT,200,,,,
SC_CACHE_USE_MODULO,0,,,,
ENABLE_SC_CACHING_FOR_CHARACTERS,,TRUE,,,
SC_CACHE_FREE_SPACE_LIMIT_CHARACTERS,64,,,,
LOGO_APPEAR_INTRO_TIME,13000,,,,
DEBUG_PVP,,FALSE,,,
SEND_EVENTS_TO_MOBILE_APP_TRACKER,,TRUE,,,
SEND_ONLY_INSTALL_EVENTS_TO_APP_TRACKER,,FALSE,,,
SHOW_NOTIF_FOR_ENERGY_FULL,,TRUE,,,
SHOW_NOTIF_FOR_MAP_CHESTS_FULL,,TRUE,,,
FORCED_PURCHASE_ENERGY_MUST_BE_LOWER_THAN,3,,,,
SHOW_TEAM_GOALS_TAB_FIRST_IN_TEAM_SCREEN,,FALSE,,,
SHOW_TEAM_MEMBER_GOAL_CONTRIBUTIONS,,TRUE,,,
CHAT_ENABLED_IN_MATCHMAKING_TROPHY_LIMIT,1500,,,,
USE_AIMING_ARROW_IN_REPLAY,,TRUE,,,
FAST_FORWARD_EMPTY_TICKS_IN_REPLAY,,FALSE,,,
SHOW_NAVIGATE_TO_SHIP_BUTTON,,FALSE,,,
SHOW_FRIEND_PROFILE_PICTURES_IN_MAP,,TRUE,,,
SHOW_ISLAND_SPECIFIC_HISCORES,,TRUE,,,
OPEN_ISLAND_HISCORES_FROM_CROWN,,TRUE,,,
ENABLE_CLAN_MAIL_SEND,,TRUE,,,
ENABLE_RESOURCE_FOCUS_ON_SCREEN_DIM,,TRUE,,,
ENABLE_BLURRING,,TRUE,,,
SHOW_PLAYER_OWN_TEAM_GOAL_PROGRESS,,TRUE,,,
