Name,TID,MinExpLevel,MaxExpLevel,iOSTID,AndroidTID
String,String,int,int,String,String
welcome message,TID_HINT_WELCOME,1,1,,
booster,TID_HINT_BOOSTER,8,999,,
drag cancel,TID_HINT_DRAG_CANCEL,4,999,,
power up counter,TID_HINT_POWERUP_COUNTER,5,10,,
upgrade heroes,TID_HINT_UPGRADE_HEROES,3,15,,
fireball,TID_HINT_FIREBALL,3,3,,
change team setup,TID_HINT_CHANGE_TEAM_SETUP,4,6,,
daily free pvp,TID_HINT_DAILY_FREE_PVP,7,10,,
daily pvp bonus,TID_HINT_DAILY_BONUS_XP_PVP,8,10,,
energy regen,TID_HINT_ENERGY_REGENERATION,2,3,,
join team,TID_HINT_TEAM_GOALS,10,15,,
replay chest,TID_HINT_REPLAY_CHEST,4,5,,
replay chest,TID_HINT_REPLAY_CHEST,8,10,,
spooky boss,TID_HINT_SPOOKY_BOSS,8,10,,
replay levels ,TID_HINT_REPLAY_LEVELS,5,5,,
pvp loot,TID_HINT_PVP_LOOT,10,15,,
fireball,TID_HINT_FIREBALL,4,4,,
mummy hint,TID_HINT_MUMMY,5,6,,
aiming aid,TID_HINT_AIMING_AID,4,999,,
view_stats,TID_HINT_VIEW_CHARACTER_STATS,7,999,,
view_combo,TID_HINT_VIEW_COMBO_COUNTER,8,999,,
team_setup,TID_HINT_TEAM_SETUP,10,15,,
tap_critter,TID_HINT_TAP_CRITTER,5,12,,
critter_attack,TID_HINT_CRITTER_ATTACK,3,8,,
special_twice,TID_HINT_SPECIAL_ATTACK_TWICE,7,999,,
max_energy_increase,TID_HINT_MAX_ENERGY_INCREASE,4,20,,
gold_purchasing,TID_HINT_GOLD_PURCHASING,6,15,,
max_energy_increase2,TID_HINT_MAX_ENERGY_INCREASE2,6,20,,
chat_report,TID_HINT_CHAT_REPORT,5,999,,
chat_report_limit,TID_HINT_CHAT_REPORT_LIMIT,10,999,,
unlocks,TID_HINT_UNLOCKS,8,29,,
achievements,TID_HINT_ACHIEVEMENT_GEMS,9,999,,
trophy_count,TID_HINT_TROPHY_COUNT,12,999,,
ship_unlock,TID_HINT_SHIP_UNLOCK,7,10,,
ship_rewards,TID_HINT_SHIP_REWARDS,10,999,,
silence_enemy,TID_HINT_SILENCE_ENEMY,6,999,,
connect_fb,TID_HINT_CONNECT_FB,4,999,,
mega_chest,TID_HINT_MEGA_CHEST,5,999,,
orb_levels,TID_HINT_ORB_LEVELS,7,999,,
special_events,TID_HINT_SPECIAL_EVENTS,6,999,,
team_messages,TID_HINT_TEAM_MESSAGES,10,999,,
dark_orbs,TID_HINT_DARK_ORB,10,999,,
daily_bonus,TID_HINT_DAILY_BONUS_PVP,6,999,,
spells,TID_HINT_SPELLS,10,999,,
spell_super_size,TID_HINT_SPELLS_SUPER_SIZE,10,999,,
spell_ice_cube,TID_HINT_SPELLS_ICE_CUBE,10,999,,
spell_freeze,TID_HINT_SPELLS_FREEZE,10,999,,
spell_freeze2,TID_HINT_SPELLS_FREEZE2,10,999,,
spell_heal,TID_HINT_SPELLS_HEAL,10,999,,
spell_lightning,TID_HINT_SPELL_LIGHTNING,10,999,,
items1,TID_HINT_ITEMS,6,999,,
items2,TID_HINT_ITEMS2,6,999,,
items_upg,TID_HINT_ITEM_UPGRADES,6,999,,
seasick,TID_HINT_SEASICK,7,999,,
