Name,Sound,MinVolume,MaxVolume,MinPitch,MaxPitch,Priority,MaximumByType,Loop,PlayVariationsInSequence,PlayVariationsInSequenceManualReset,StartDelayMinMs,StartDelayMaxMs,PlayOnlyWhenInView,MaxVolumeScaleLimit,NoSoundScaleLimit,PadEmpyToEndMs
String,String,int,int,int,int,int,int,boolean,boolean,boolean,int,int,boolean,int,int,int
Generic Hit,,1,1,100,100,1,20,,,,,,,,,
Generic Shot,sfx/fire_ball_08v2.wav,40,40,95,105,1,20,,,,,,,,,
Generic Hit2,,40,50,95,95,1,20,,,,,,,,,
Enemy Hit Tonal,sfx/test_hit_tonal_01v3.wav,40,40,100,100,1,20,,,true,,,,,,
,sfx/test_hit_tonal_02v3.wav,40,40,100,100,1,20,,,,20,30,,,,
,sfx/test_hit_tonal_03v3.wav,40,40,100,100,1,20,,,,40,50,,,,
,sfx/test_hit_tonal_04v3.wav,40,40,100,100,1,20,,,,60,70,,,,
,sfx/test_hit_tonal_05v3.wav,40,40,100,100,1,20,,,,80,90,,,,
,sfx/test_hit_tonal_06v3.wav,40,40,100,100,1,20,,,,100,110,,,,
,sfx/test_hit_tonal_07v3.wav,40,40,100,100,1,20,,,,120,130,,,,
,sfx/test_hit_tonal_08v3.wav,40,40,100,100,1,20,,,,130,140,,,,
,sfx/test_hit_tonal_09v3.wav,40,40,100,100,1,20,,,,130,140,,,,
,sfx/test_hit_tonal_10v3.wav,40,40,100,100,1,20,,,,130,140,,,,
,sfx/test_hit_tonal_11v3.wav,40,40,100,100,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_12v3.wav,40,40,100,100,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,100,100,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,112,112,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,126,126,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,133,133,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,150,150,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,168,168,1,20,,,,140,150,,,,
,sfx/test_hit_tonal_13v3.wav,40,40,200,200,1,20,,,,140,150,,,,
Roll,sfx/roll_seq_02.wav,1,1,170,170,1,20,,,,,,,,,
Hit Player,sfx/hit_player_03.wav,35,35,98,102,1,20,,,,,,,,,
Roll Loop,sfx/roll_seq_loop_05_test.wav,5,50,70,210,1,20,,,,,,,,,
Fire ball,sfx/fire_ball_01.wav,1,1,95,105,1,20,,,,,,,,,
Draw back,sfx/draw_back_sfx_06.wav,30,30,95,105,1,1,,,,,,,,,
Spider Take Damage,sfx/spider_get_hit_06.wav,20,30,96,104,1,2,,,,100,150,,,,
Spider Attack,sfx/spider_attack_05v2.wav,30,30,97,103,1,5,,,,,,,,,
Bat Attack,sfx/bat_attack_02.wav,30,30,95,105,1,20,,,,,,,,,
Bat Take Damage,sfx/bat_get_hit_02.wav,20,30,94,104,1,2,,,,100,150,,,,
Menu Click,sfx/menu_click_01.wav,1,1,95,105,1,20,,,,,,,,,
Hit Sides,sfx/hit_sides_08.wav,30,30,95,105,1,1,,,,,,,,,
Hit Other Player,sfx/hit_other_player_04.wav,30,30,95,105,1,20,,,,,,,,,
Generic Enemy Die,sfx/fire_ball_02v2.wav,30,40,95,105,1,20,,,,,,,,,
Player Highlight,sfx/player_highlight_04.wav,60,60,100,100,1,20,,,,,,,,,
Hit Cactus,sfx/hit_cactus_05.wav,30,30,95,105,1,20,,,,,,,,,
wizball shoot,sfx/cole_wiz_fire_04.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_04.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_02.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_04.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_03.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_04.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_05.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/cole_wiz_fire_01.wav,40,50,98,102,1,1,,,,30,60,,,,
wizball hurt,sfx/cole_wiz_hurt_01.wav,40,50,98,102,1,1,,,,30,60,,,,100
,sfx/cole_wiz_hurt_02.wav,40,50,98,102,1,1,,,,30,60,,,,100
,sfx/cole_wiz_hurt_03.wav,40,50,98,102,1,1,,,,30,60,,,,100
,sfx/cole_wiz_hurt_04.wav,40,50,98,102,1,1,,,,30,60,,,,100
,sfx/cole_wiz_hurt_05.wav,40,50,98,102,1,1,,,,30,60,,,,
wizball flameball,sfx/wiz_flameball_01.wav,60,60,95,105,1,5,,,,,,,,,
wizball special,sfx/wiz_fireball_02.wav,70,70,95,105,1,5,,,,350,350,,,,
princess shoot,sfx/princess_fire_01v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_01v2.wav,1,1,98,102,1,1,,,,,,,,,
,sfx/princess_fire_02v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_01v2.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_03v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_04v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_01v2.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_05v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_01v2.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/princess_fire_06v2.wav,50,60,98,102,1,1,,,,30,60,,,,
princess hurt,sfx/princess_hurt_01v2.wav,50,60,98,102,1,1,,,,30,60,,,,100
,sfx/princess_hurt_04v2.wav,50,60,98,102,1,1,,,,30,60,,,,100
,sfx/princess_hurt_05v2.wav,50,60,98,102,1,1,,,,30,60,,,,100
,sfx/princess_hurt_06v2.wav,50,60,98,102,1,1,,,,30,60,,,,100
,sfx/princess_hurt_07v2.wav,50,60,98,102,1,1,,,,30,60,,,,100
,sfx/princess_hurt_08v2.wav,50,60,98,102,1,1,,,,30,60,,,,100
princess special,sfx/princesspowspecial02.wav,50,60,98,102,1,1,,,,,,,,,
