TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR
string,string,string,string,string,string,string,string,string,string,string,string,string
TID_DIAMONDS,Diamonds,,,,,,,,,,,
TID_GOLD,Gold,,,,,,,,,,,
TID_XP,XP,,,,,,,,,,,
TID_LOADING,Loading,,,,,,,,,,,
TID_ADVBOY,Adventure Boy,,,,,,,,,,,
TID_PRINCE,Prince Passion,,,,,,,,,,,
TID_PIRATE,Captain Smash,,,,,,,,,,,
TID_PRINCESS,Princess Pow,,,,,,,,,,,
TID_WIZARD,Wiz Grump,,,,,,,,,,,
TID_FAIRY,Elo,,,,,,,,,,,
TID_BARREL,Buster ,,,,,,,,,,,
TID_GENIE,Zalla Zam,,,,,,,,,,,
TID_YETI,Lumimi,,,,,,,,,,,
TID_SPACEG,Lazer Girl,,,,,,,,,,,
TID_YOU_WIN,You Win,,,,,,,,,,,
TID_YOU_LOSE,You Lose,,,,,,,,,,,
TID_TIED_MATCH,Tied Match,,,,,,,,,,,
TID_REPLAY_END,Replay Over,,,,,,,,,,,
TID_BUY_CHARACTER,Add to team,,,,,,,,,,,
TID_BUY_ITEM,Unlock Item,,,,,,,,,,,
TID_UPGRADE_CHARACTER,Upgrade,,,,,,,,,,,
TID_ORB_INFO,You can get Gembits by playing multiplayer battles!,,,,,,,,,,,
TID_BUTTON_OK,OK,,,,,,,,,,,
TID_BUTTON_HOME,OK,,,,,,,,,,,
TID_BUTTON_GO,GO!,,,,,,,,,,,
TID_BUTTON_CAMP,Camp,,,,,,,,,,,
TID_BUTTON_SHOP,Shop,,,,,,,,,,,
TID_RETURN_HOME,Return,,,,,,,,,,,
TID_BUTTON_DONE,Done,,,,,,,,,,,
TID_BUTTON_LETS_GO,Let's Go!,,,,,,,,,,,
TID_BUTTON_GO_HOME,Go Home,,,,,,,,,,,
TID_BUTTON_REPLAY,Replay,,,,,,,,,,,
TID_BUTTON_BUY,Buy,,,,,,,,,,,
TID_BUTTON_SKIP,Finish now,,,,,,,,,,,
TID_BUTTON_UNEQUIP,Don't Use,,,,,,,,,,,
TID_BUTTON_EQUIP,Use,,,,,,,,,,,
TID_BUTTON_MAIL,Mail,,,,,,,,,,,
TID_BUTTON_SEND,Send,,,,,,,,,,,
TID_BUTTON_UPGRADE,Upgrade,,,,,,,,,,,
TID_SHARE_BUTTON,Share,,,,,,,,,,,
TID_PLAY,Play,,,,,,,,,,,
TID_MOVES,Moves,,,,,,,,,,,
TID_SKIP,Skip,,,,,,,,,,,
TID_BEST_INGAME,Best:,,,,,,,,,,,
TID_1XFREE,1x Free,,,,,,,,,,,
TID_FREE_COST,Free,,,,,,,,,,,
TID_FIRST_WIN_OF_THE_DAY_BONUS_AVAILABLE,<c3>DAILY WIN BONUS</c>\n\nEarn bonus rewards by winning a multiplayer match with any of these unused heroes. <c3><num></c> XP and <c3><num2></c> Gold per hero!,,,,,,,,,,,
TID_FIRST_WIN_OF_THE_DAY_BONUS_AVAILABLE_USABLE_HEROES,<c3>DAILY WIN BONUS</c> resets in <time> hours.\n\nEarn bonus rewards by winning a multiplayer match with any of these unused heroes!,,,,,,,,,,,
TID_FIRST_WIN_OF_THE_DAY_BONUS_AVAILABLE_AGAIN,You have received <c3>DAILY WIN BONUS</c> with all your heroes!\n\nAvailable again in <time> hours!,,,,,,,,,,,
TID_FIRST_WIN_OF_THE_DAY_BONUS_AVAILABLE_HERO,<c3>DAILY WIN BONUS</c>\n\nEarn extra <c3><num></c> XP and <c3><num2></c> Gold by winning a multiplayer match with this hero!,,,,,,,,,,,
TID_FIRST_WIN_OF_THE_DAY_BONUS_AVAILABLE_HERO_AGAIN,You have received <c3>DAILY WIN BONUS</c> with this hero!\n\nAvailable again in <time> hours!,,,,,,,,,,,
TID_WIN_BONUS_USABLE_HEROES,Unused Heroes:,,,,,,,,,,,
TID_FREE_PLAY_AVAILABLE,First <c3>multiplayer</c> match of the day doesn't cost <c3>Energy</c>,,,,,,,,,,,
TID_FREE_PLAY,Free Play,,,,,,,,,,,
TID_FREE_PLAY_DESCRIPTION,First multiplayer match of the day doesn't cost Energy,,,,,,,,,,,
TID_FREE_UNLOCK_BATTLE,Fight!,,,,,,,,,,,
TID_BUTTON_INFO,i,,,,,,,,,,,
TID_REWARD,Reward,,,,,,,,,,,
TID_REWARDS,Rewards,,,,,,,,,,,
TID_TOTAL_REWARDS,Total Rewards,,,,,,,,,,,
