Name,Level,TID,InfoTID,Action,ActionCount,ExpReward,DiamondReward,CompletedTID,ShowOnlyInBattle,Hero,ShowOnlyInHomescreen,SortIndex,Hidden
String,int,String,String,String,int,int,int,String,Boolean,String,Boolean,int,Boolean
com.supercell.life.monsterbash0,0,TID_ACHIEVEMENT_TITLE_MONSTER_BASH,TID_ACHIEVEMENT_INFO_MONSTER_BASH,destroy,500,20,3,TID_ACHIEVEMENT_COMPLETED_MONSTER_BASH,True,,,2,
com.supercell.life.monsterbash1,1,TID_ACHIEVEMENT_TITLE_MONSTER_BASH,TID_ACHIEVEMENT_INFO_MONSTER_BASH,destroy,10000,100,5,TID_ACHIEVEMENT_COMPLETED_MONSTER_BASH,True,,,2,
com.supercell.life.monsterbash2,2,TID_ACHIEVEMENT_TITLE_MONSTER_BASH,TID_ACHIEVEMENT_INFO_MONSTER_BASH,destroy,100000,500,20,TID_ACHIEVEMENT_COMPLETED_MONSTER_BASH,True,,,2,
com.supercell.life.explorer0,0,TID_ACHIEVEMENT_TITLE_EXPLORER,TID_ACHIEVEMENT_INFO_EXPLORER,complete,25,20,3,TID_ACHIEVEMENT_COMPLETED_EXPLORER,,,,1,
com.supercell.life.explorer1,1,TID_ACHIEVEMENT_TITLE_EXPLORER,TID_ACHIEVEMENT_INFO_EXPLORER,complete,100,100,5,TID_ACHIEVEMENT_COMPLETED_EXPLORER,,,,1,
com.supercell.life.explorer2,2,TID_ACHIEVEMENT_TITLE_EXPLORER,TID_ACHIEVEMENT_INFO_EXPLORER,complete,180,500,10,TID_ACHIEVEMENT_COMPLETED_EXPLORER,,,,1,
com.supercell.life.multiplayer0,0,TID_ACHIEVEMENT_TITLE_MULTIPLAYER,TID_ACHIEVEMENT_INFO_MULTIPLAYER,pvpmatch,50,25,5,TID_ACHIEVEMENT_COMPLETED_MULTIPLAYER,,,,1,
com.supercell.life.multiplayer1,1,TID_ACHIEVEMENT_TITLE_MULTIPLAYER,TID_ACHIEVEMENT_INFO_MULTIPLAYER,pvpmatch,800,150,10,TID_ACHIEVEMENT_COMPLETED_MULTIPLAYER,,,,1,
com.supercell.life.multiplayer2,2,TID_ACHIEVEMENT_TITLE_MULTIPLAYER,TID_ACHIEVEMENT_INFO_MULTIPLAYER,pvpmatch,5000,750,20,TID_ACHIEVEMENT_COMPLETED_MULTIPLAYER,,,,1,
com.supercell.life.upgrade0,0,TID_ACHIEVEMENT_TITLE_UPGRADE,TID_ACHIEVEMENT_INFO_UPGRADE,upgrade,4,25,3,TID_ACHIEVEMENT_COMPLETED_UPGRADE,,,True,4,
com.supercell.life.upgrade1,1,TID_ACHIEVEMENT_TITLE_UPGRADE,TID_ACHIEVEMENT_INFO_UPGRADE,upgrade,8,100,5,TID_ACHIEVEMENT_COMPLETED_UPGRADE,,,True,4,
com.supercell.life.upgrade2,2,TID_ACHIEVEMENT_TITLE_UPGRADE,TID_ACHIEVEMENT_INFO_UPGRADE,upgrade,12,400,10,TID_ACHIEVEMENT_COMPLETED_UPGRADE,,,True,4,
com.supercell.life.borrow0,0,TID_ACHIEVEMENT_TITLE_BORROW,TID_ACHIEVEMENT_INFO_BORROW,borrow,10,75,3,TID_ACHIEVEMENT_COMPLETED_BORROW,,,,10,True
com.supercell.life.borrow1,1,TID_ACHIEVEMENT_TITLE_BORROW,TID_ACHIEVEMENT_INFO_BORROW,borrow,30,150,5,TID_ACHIEVEMENT_COMPLETED_BORROW,,,,10,True
com.supercell.life.borrow2,2,TID_ACHIEVEMENT_TITLE_BORROW,TID_ACHIEVEMENT_INFO_BORROW,borrow,100,300,10,TID_ACHIEVEMENT_COMPLETED_BORROW,,,,10,True
com.supercell.life.decos0,0,TID_ACHIEVEMENT_TITLE_DECOS,TID_ACHIEVEMENT_INFO_DECOS,decos,5,25,3,TID_ACHIEVEMENT_COMPLETED_DECOS,,,,20,
com.supercell.life.decos1,1,TID_ACHIEVEMENT_TITLE_DECOS,TID_ACHIEVEMENT_INFO_DECOS,decos,15,100,5,TID_ACHIEVEMENT_COMPLETED_DECOS,,,,20,
com.supercell.life.decos2,2,TID_ACHIEVEMENT_TITLE_DECOS,TID_ACHIEVEMENT_INFO_DECOS,decos,25,400,10,TID_ACHIEVEMENT_COMPLETED_DECOS,,,,20,
com.supercell.life.league0,0,TID_ACHIEVEMENT_TITLE_LEAGUES,TID_ACHIEVEMENT_INFO_LEAGUES1,league,3,100,10,TID_ACHIEVEMENT_COMPLETED_LEAGUES,,,,3,
com.supercell.life.league1,1,TID_ACHIEVEMENT_TITLE_LEAGUES,TID_ACHIEVEMENT_INFO_LEAGUES2,league,6,500,50,TID_ACHIEVEMENT_COMPLETED_LEAGUES,,,,3,
com.supercell.life.league2,2,TID_ACHIEVEMENT_TITLE_LEAGUES,TID_ACHIEVEMENT_INFO_LEAGUES3,league,10,1000,100,TID_ACHIEVEMENT_COMPLETED_LEAGUES,,,,3,
com.supercell.life.herocombo0,0,TID_ACHIEVEMENT_TITLE_HEROCOMBO,TID_ACHIEVEMENT_INFO_HEROCOMBO,herocombo,5,50,5,TID_ACHIEVEMENT_COMPLETED_HEROCOMBO,True,,,4,
com.supercell.life.herocombo1,1,TID_ACHIEVEMENT_TITLE_HEROCOMBO,TID_ACHIEVEMENT_INFO_HEROCOMBO,herocombo,50,100,10,TID_ACHIEVEMENT_COMPLETED_HEROCOMBO,True,,,4,
com.supercell.life.herocombo2,2,TID_ACHIEVEMENT_TITLE_HEROCOMBO,TID_ACHIEVEMENT_INFO_HEROCOMBO,herocombo,500,200,15,TID_ACHIEVEMENT_COMPLETED_HEROCOMBO,True,,,4,
com.supercell.life.untouchable0,0,TID_ACHIEVEMENT_TITLE_UNTOUCHABLE,TID_ACHIEVEMENT_INFO_UNTOUCHABLE,untouchable,15,40,3,TID_ACHIEVEMENT_COMPLETED_UNTOUCHABLE,,,,6,
com.supercell.life.untouchable1,1,TID_ACHIEVEMENT_TITLE_UNTOUCHABLE,TID_ACHIEVEMENT_INFO_UNTOUCHABLE,untouchable,50,200,5,TID_ACHIEVEMENT_COMPLETED_UNTOUCHABLE,,,,6,
com.supercell.life.untouchable2,2,TID_ACHIEVEMENT_TITLE_UNTOUCHABLE,TID_ACHIEVEMENT_INFO_UNTOUCHABLE,untouchable,200,1000,10,TID_ACHIEVEMENT_COMPLETED_UNTOUCHABLE,,,,6,
com.supercell.life.victorious0,0,TID_ACHIEVEMENT_TITLE_VICTORIOUS,TID_ACHIEVEMENT_INFO_VICTORIOUS,pvpwin,20,100,5,TID_ACHIEVEMENT_COMPLETED_VICTORIOUS,,,,1,
com.supercell.life.victorious1,1,TID_ACHIEVEMENT_TITLE_VICTORIOUS,TID_ACHIEVEMENT_INFO_VICTORIOUS,pvpwin,400,1000,25,TID_ACHIEVEMENT_COMPLETED_VICTORIOUS,,,,1,
com.supercell.life.victorious2,2,TID_ACHIEVEMENT_TITLE_VICTORIOUS,TID_ACHIEVEMENT_INFO_VICTORIOUS,pvpwin,8000,2000,100,TID_ACHIEVEMENT_COMPLETED_VICTORIOUS,,,,1,
com.supercell.life.bouncecombo0,0,TID_ACHIEVEMENT_TITLE_BOUNCECOMBO,TID_ACHIEVEMENT_INFO_BOUNCECOMBO,bouncecombo,21,50,3,TID_ACHIEVEMENT_COMPLETED_BOUNCECOMBO,True,,,9,
