"Name","IconSWF","IconExportName"
"String","String","String"
1,"sc/badges.sc","badge_img_apple01"
2,"sc/badges.sc","badge_img_bat01"
3,"sc/badges.sc","badge_img_bee01"
4,"sc/badges.sc","badge_img_beetle01"
5,"sc/badges.sc","badge_img_bugs01"
6,"sc/badges.sc","badge_img_flower01"
7,"sc/badges.sc","badge_img_log01"
8,"sc/badges.sc","badge_img_mole01"
9,"sc/badges.sc","badge_img_pyramid01"
10,"sc/badges.sc","badge_img_snake01"
11,"sc/badges.sc","badge_img_spider01"
12,"sc/badges.sc","badge_img_bush01"
13,"sc/badges.sc","badge_img_ghost01"
14,"sc/badges.sc","badge_img_mushroom01"
15,"sc/badges.sc","badge_img_mushroomboss01"
16,"sc/badges.sc","badge_img_owl01"
17,"sc/badges.sc","badge_img_mole00"
18,"sc/badges.sc","badge_img_spookyspider01"
