"Name","TID","DescriptionTID","Cost","Resource","IconSWF","IconExportName","ObjectSWF","ObjectExportName","ShadowSWF","ShadowExportName","IconBGSWF","IconBGExportName","VisualType","UnlockLevel","CharacterUnlock","CostumeIndex","Hidden","SortIndex"
"String","String","String","int","String","String","String","String","String","String","String","String","String","String","int","String","int","boolean","int"
"FlagNZ","TID_DECO_FLAG_NAT","TID_DECO_FLAG_NZ",10000,"Gold","sc/decos.sc","deco_flag_new_zealand","sc/decos.sc","deco_flag_new_zealand","sc/decos.sc","deco_flag_new_zealand",,,"Flag",9,,,,3
"FlagWales","TID_DECO_FLAG_NAT","TID_DECO_FLAG_WALES",10000,"Gold","sc/decos.sc","deco_flag_wales","sc/decos.sc","deco_flag_wales","sc/decos.sc","deco_flag_wales",,,"Flag",9,,,,3
"FlagUS","TID_DECO_FLAG_NAT","TID_DECO_FLAG_US",10000,"Gold","sc/decos.sc","deco_flag_usa","sc/decos.sc","deco_flag_usa","sc/decos.sc","deco_flag_usa",,,"Flag",9,,,,1
"FlagUK","TID_DECO_FLAG_NAT","TID_DECO_FLAG_UK",10000,"Gold","sc/decos.sc","deco_flag_uk","sc/decos.sc","deco_flag_uk","sc/decos.sc","deco_flag_uk",,,"Flag",9,,,,1
"FlagFI","TID_DECO_FLAG_NAT","TID_DECO_FLAG_FI",10000,"Gold","sc/decos.sc","deco_flag_finland","sc/decos.sc","deco_flag_finland","sc/decos.sc","deco_flag_finland",,,"Flag",9,,,,3
"FlagDK","TID_DECO_FLAG_NAT","TID_DECO_FLAG_DK",10000,"Gold","sc/decos.sc","deco_flag_denmark","sc/decos.sc","deco_flag_denmark","sc/decos.sc","deco_flag_denmark",,,"Flag",9,,,,3
"FlagRomania","TID_DECO_FLAG_NAT","TID_DECO_FLAG_ROMANIA",10000,"Gold","sc/decos.sc","deco_flag_romania","sc/decos.sc","deco_flag_romania","sc/decos.sc","deco_flag_romania",,,"Flag",9,,,,3
"FlagAustralia","TID_DECO_FLAG_NAT","TID_DECO_FLAG_AUSTRALIA",10000,"Gold","sc/decos.sc","deco_flag_australia","sc/decos.sc","deco_flag_australia","sc/decos.sc","deco_flag_australia",,,"Flag",9,,,,2
"FlagCanada","TID_DECO_FLAG_NAT","TID_DECO_FLAG_CANADA",10000,"Gold","sc/decos.sc","deco_flag_canada","sc/decos.sc","deco_flag_canada","sc/decos.sc","deco_flag_canada",,,"Flag",9,,,,1
"FlagPirate","TID_DECO_FLAG","TID_DECO_FLAG_PIRATE",100000,"Gold","sc/decos.sc","deco_flag_pirate","sc/decos.sc","deco_flag_pirate","sc/decos.sc","deco_flag_pirate",,,"Flag",9,,,,100
"FlagChina","TID_DECO_FLAG_NAT","TID_DECO_FLAG_CHINA",10000,"Gold","sc/decos.sc","deco_flag_china","sc/decos.sc","deco_flag_china","sc/decos.sc","deco_flag_china",,,"Flag",9,,,,4
"FlagGermany","TID_DECO_FLAG_NAT","TID_DECO_FLAG_GERMANY",10000,"Gold","sc/decos.sc","deco_flag_germany","sc/decos.sc","deco_flag_germany","sc/decos.sc","deco_flag_germany",,,"Flag",9,,,,4
"FlagJapan","TID_DECO_FLAG_NAT","TID_DECO_FLAG_JAPAN",10000,"Gold","sc/decos.sc","deco_flag_japan","sc/decos.sc","deco_flag_japan","sc/decos.sc","deco_flag_japan",,,"Flag",9,,,,4
"FlagRussia","TID_DECO_FLAG_NAT","TID_DECO_FLAG_RUSSIA",10000,"Gold","sc/decos.sc","deco_flag_russia","sc/decos.sc","deco_flag_russia","sc/decos.sc","deco_flag_russia",,,"Flag",9,,,,4
"FlagSouthKorea","TID_DECO_FLAG_NAT","TID_DECO_FLAG_SOUTH_KOREA",10000,"Gold","sc/decos.sc","deco_flag_south_korea","sc/decos.sc","deco_flag_south_korea","sc/decos.sc","deco_flag_south_korea",,,"Flag",9,,,,4
"FlagPinkPirate","TID_DECO_FLAG","TID_DECO_FLAG_PINK_PIRATE",100000,"Gold","sc/decos.sc","deco_flag_pink_pirate","sc/decos.sc","deco_flag_pink_pirate","sc/decos.sc","deco_flag_pink_pirate",,,"Flag",9,,,,100
"FlagTaiwan","TID_DECO_FLAG_NAT","TID_DECO_FLAG_TAIWAN",10000,"Gold","sc/decos.sc","deco_flag_taiwan","sc/decos.sc","deco_flag_taiwan","sc/decos.sc","deco_flag_taiwan",,,"Flag",9,,,"TRUE",4
"FlagSingapore","TID_DECO_FLAG_NAT","TID_DECO_FLAG_SINGAPORE",10000,"Gold","sc/decos.sc","deco_flag_singapore","sc/decos.sc","deco_flag_singapore","sc/decos.sc","deco_flag_singapore",,,"Flag",9,,,"TRUE",4
