Name,SWF,ExportName,ParticleEmitter,EmitterProbability,EmitterDelayMs,EmitterOffsetX,EmitterOffsetY,CameraShake,AttachToParent,Looping,IsoLayer,Targeted,MaxCount,RemoveWhenSourceDies,Sound,EnableOnlyWhenInView,DisableFromLowGFX
String,String,String,String,int,int,int,int,int,boolean,boolean,String,boolean,int,boolean,String,boolean,boolean
Spell Disappear,,,appear_D,,,,,,,,top,,10,,,,
,,,appear_C,,,,,,,,,,,,,,
,,,appear_D,,,,,,,,,,,,,,
,,,appear_E,,,,,,,,,,,,,,
Generic Hit,,,impact_01,,,,,,,,top,,20,,Generic Hit,,
Generic Shot,,,,,,,,,,,objects,,20,,Generic Shot,,
Enemy Take Damage,,,take_damage,,,,,,,,top,,50,,Enemy Hit Tonal,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,,,,,,,,,,,,,,,
AdvBoy Take Damage,,,take_damage,,,,,,,,top,,50,,adventureboy hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Wizard Take Damage,,,take_damage,,,,,,,,top,,50,,wizball hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Pirate Take Damage,,,take_damage,,,,,,,,top,,50,,pirate hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Mummy Take Damage,,,take_damage,,,,,,,,top,,50,,mummy hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
SpaceGirl Take Damage,,,take_damage,,,,,,,,top,,50,,spacegirl hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Barrell Take Damage,,,take_damage,,,,,,,,top,,50,,barrel hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Genie Take Damage,,,take_damage,,,,,,,,top,,50,,geenie hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Player Take Damage,,,take_damage,,,,,,,,top,,50,,Hit Player,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
