Name,TID,InfoTID,SWF,ExportName,ShadowSWF,ShadowExportName,World,ThreatValue,BountyMin,BountyMax,Scale,Hitpoints,Damage,Radius,Width,Height,HidesOnSpecialAttack,NoCollisionWhenDies,FirstAttackOnTurn,AttackTurnSeq,AttackStateStartedEffect,AppearEffect,TakeDamageEffect,TakeDamageEffect2,DieEffect,ShadowHeight,VelocityModifierOnCollision,ColorMulR,ColorMulG,ColorMulB,ColorAddR,ColorAddG,ColorAddB,SpawnEnemyWhenDie1,SpawnEnemyWhenDie2,AttacksChosenInSequence,AttackOddsA,AttackEffect,AttackEffect2,AttackTypeA,AttackDelayA,ProjectileA,SpawnedCharacterWhenAttackA,AttackRadiusA,AttackOddsB,AttackEffectB,AttackEffect2B,AttackTypeB,AttackDelayB,ProjectileB,SpawnedCharacterWhenAttackB,AttackRadiusB,DamageB,DeathAreaDamage,DeathDelayTimer,DeathAreaDamageEffect,DeathAreaDamageRadius
String,String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,int,boolean,boolean,int,int,String,String,String,String,String,int,int,int,int,int,int,int,int,String,String,String,int,String,String,String,int,String,String,int,int,String,String,String,int,String,String,int,int,int,int,String,int
Spider,TID_SPIDER,TID_CHARACTER_INFO_SPIDER,sc/characters.sc,chr_spider_forest_lvl1,,,Forest,20,1,1,80,38,27,24,,,,,2,2,,Generic Enemy Appear,Take Damage A,Spider Take Damage,Generic Die Effect,20,,,,,,,,,,,,Spider Attack 2,Spider Attack,shoot_8,,spider_ball_01,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_spider_forest_lvl2,,,,25,5,5,80,100,65,24,,,,,,,,Generic Enemy Appear,,,,20,,,,,,,,,,,,,,,,spider_ball_02,,,,,,,,,,,,,,,
Bat,TID_BAT,TID_CHARACTER_INFO_BAT,sc/characters.sc,chr_bat_lvl1,,,Spooky,25,5,10,80,100,65,24,,,,,2,2,,Generic Enemy Appear,Take Damage A,Bat Take Damage,Generic Die Effect,35,,,,,,,,,,,,Generic Attack,Bat Attack,closest,,,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_bat_lvl2,,,,40,5,10,80,200,130,24,,,,,2,2,,Generic Enemy Appear,Take Damage A,Bat Take Damage,Generic Die Effect,35,,,,,,,,,,,,Generic Attack,Bat Attack,closest,,,,,,,,,,,,,,,,,
Bee,TID_BEE,TID_CHARACTER_INFO_BEE,sc/characters.sc,chr_bee_lvl1,sc/characters.sc,chr_bee_F_shad_01,Forest,5,0,0,135,1,12,15,,,,true,2,1,,Generic Enemy Appear,Take Damage A,Bee Take Damage,Generic Die Effect,-10,,,,,,,,,,,,Generic Attack,Bee Attack,closest,,,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_bee_lvl2,sc/characters.sc,chr_bee_F_shad_01,,14,0,0,135,1,24,15,,,,true,2,1,,Generic Enemy Appear,Take Damage A,Bee Take Damage,Generic Die Effect,-10,,,,,,,,,,,,Generic Attack,Bee Attack,closest,,,,,,,,,,,,,,,,,
Boulder,TID_BOULDER,TID_CHARACTER_INFO_BOULDER,sc/characters.sc,chr_boulder_01,,,,50,7,7,80,200,65,24,,,,,3,2,,Generic Enemy Appear,Take Damage A,,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Boulder Attack,move_topdown,,,,,,,,,,,,,,,,,
Flower,TID_FLOWER,TID_CHARACTER_INFO_FLOWER,sc/characters.sc,chr_flower_lvl1,,,Forest,25,15,15,80,120,17,24,,,,,2,2,,Generic Enemy Appear,Take Damage A,Flower Take Damage,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Flower Attack,shoot_16,,flower_projectile,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_flower_lvl2,,,,35,20,25,80,240,28,24,,,,,2,2,,Generic Enemy Appear,Take Damage A,Flower Take Damage,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Flower Attack,shoot_16,,flower_projectile,,,,,,,,,,,,,,,
