Name,ExpPoints,PvpBonusXp,PvpBonusGold,MapChestMinGold,MapChestMaxGold,MapChestMinXP,MapChestMaxXP,DefaultQuestRewardGoldPerEnergy,DefaultQuestRewardXpPerEnergy
String,int,int,int,int,int,int,int,int,int
1,40,100,25,60,75,0,0,15,8
2,120,100,25,72,90,0,0,18,9
3,160,100,25,84,105,0,0,21,11
4,200,100,25,96,120,0,0,24,12
5,300,100,25,108,135,56,70,27,14
6,500,100,25,120,150,60,75,30,15
7,800,125,50,132,165,68,85,33,17
8,1200,125,50,144,180,72,90,36,18
9,1600,150,50,156,195,80,100,39,20
10,2000,150,50,168,210,84,105,42,21
11,3000,175,75,180,225,92,115,45,23
12,4000,175,75,192,240,96,120,48,24
13,6000,200,100,204,255,104,130,51,26
14,8000,200,100,216,270,108,135,54,27
15,10000,225,150,228,285,116,145,57,29
16,12000,225,150,240,300,120,150,60,30
17,15000,250,175,252,315,128,160,63,32
18,20000,250,175,264,330,132,165,66,33
19,25000,275,200,276,345,140,175,69,35
20,30000,275,200,288,360,144,180,72,36
21,40000,300,225,300,375,152,190,75,38
22,50000,300,225,312,390,156,195,78,39
23,60000,350,250,324,405,164,205,81,41
24,80000,350,250,336,420,168,210,84,42
25,100000,400,350,348,435,176,220,87,44
26,150000,400,350,360,450,180,225,90,45
27,200000,450,450,372,465,188,235,93,47
28,300000,450,450,384,480,192,240,96,48
29,500000,500,500,392,490,196,245,98,49
30,1000000,500,500,400,500,200,250,99,50
31,1250000,500,500,400,500,200,250,100,50
32,1500000,500,500,400,500,200,250,100,50
33,1750000,500,500,400,500,200,250,100,50
34,2000000,500,500,400,500,200,250,100,50
35,2500000,500,500,400,500,200,250,100,50
