Name,NumberValue,BooleanValue,TextValue,NumberArray,StringArray
String,int,boolean,string,int,String
MAX_GOLD_RESERVE,2000000,,,,
SPEED_UP_DIAMOND_COST_1_MIN,1,,,,
SPEED_UP_DIAMOND_COST_1_HOUR,20,,,,
SPEED_UP_DIAMOND_COST_24_HOURS,300,,,,
SPEED_UP_DIAMOND_COST_1_WEEK,1500,,,,
PVP_BONUS_TIMER_HOURS,16,,,,
SMALL_CHEST_MODIFIER_MIN,190,,,,
SMALL_CHEST_MODIFIER_MAX,210,,,,
MED_CHEST_MODIFIER_MIN,240,,,,
MED_CHEST_MODIFIER_MAX,260,,,,
BIG_CHEST_MODIFIER_MIN,390,,,,
BIG_CHEST_MODIFIER_MAX,410,,,,
ENERGY_REGENERATE_SECONDS,300,,,,
FREE_PVP_REGENERATE_HOURS,18,,,,
ENABLE_DAILY_FREE_PVP,,TRUE,,,
ENABLE_HERO_BORROWING,,FALSE,,,
ENABLE_TEAMS,,TRUE,,,
PHYSICS_STOP_SPEED,75,,,,
PHYSICS_DEAL_DAMAGE_SPEED,100,,,,
PHYSICS_GOOD_SLOWDOWN_MOD,980,,,,
PHYSICS_EVIL_SLOWDOWN_MOD,900,,,,
PHYSICS_TNT_SLOWDOWN_MOD,900,,,,
EXPLOSIVE_TNT_LIFETIME_AFTER_DEPLOY,2,,,,
STARTING_DIAMONDS,75,,,,
STARTING_GOLD,0,,,,
FORCED_CHARACTER_PURCHASE,,,Wizard,,
BILLING_PACK_NAMES_FROM_CSV,,FALSE,,,
BUFFER_SERVER_COMMANDS,,TRUE,,,
PVP_OBJECT_RANDOM_RANGE_PIXEL,5,,,,
STARTING_CHARACTER,,,AdvBoy,,
STARTING_QUEST,,,Forest,,
SHIP_SPEEDUP_RESOURCE_COST_100,20,,,,
RESOURCE_DIAMOND_COST_10,1,,,,
RESOURCE_DIAMOND_COST_100,7,,,,
RESOURCE_DIAMOND_COST_1000,50,,,,
RESOURCE_DIAMOND_COST_10000,350,,,,
RESOURCE_DIAMOND_COST_50000,1600,,,,
RESOURCE_DIAMOND_COST_100000,3000,,,,
RESOURCE_DIAMOND_COST_500000,12000,,,,
RESOURCE_DIAMOND_COST_1000000,24000,,,,
RESOURCE_DIAMOND_COST_10000000,240000,,,,
RESOURCE_ENERGY_COST_PER_UNIT,2,,,,
BONUS_DIAMOND_RESPAWN_HOURS,18,,,,
USE_TIMED_BONUS_DIAMONDS,,TRUE,,,
DIAMONDS_TO_GIVE_PER_RESPAWN,3,,,,
BONUS_ENERGY_LEVEL_FAIL_COUNT,3,,,,
PVP_INACTIVE_TURNS_TO_LOSE,2,,,,
