Name,TID,InfoTID,HiddenFromGame,SWF,ExportName,ClipReplaceOld,ClipReplaceNew,SpecialIconSWF,Scale,SpecialIconExportName,SpecialAttackAimClip,SpecialAttackName,SpecialAttackDescription,PassiveAbilityName,PassiveAbilityDescription,PassiveAbilityIconSWF,PassiveAbilityIconExportName,IconSWF,IconExportName,IconSelectSWF,IconSelectExportName,SortingOrder,RelativeStartingRank,UpgradeTimeSeconds,RequiredXpLevel,RequiredQuest,ShowOnQuest,Damage,SpecialAttackDamage,Hitpoints,Resource,Cost,PushEnemyHeroMod,SpecialAttackActiveLimit,Speed,Radius,SpecialAttack,SpecialAttackPushback,SpecialAttackProjectile,SpecialAttackSpawnObstacle,SpecialAttackProjectileCount,SpecialAttackKnockback,SpecialAttackSpeedBoostDuration,AttackEffect,AttackEffect2,FlickEffect,MoveEffect,SpecialAttackDragEffect,SpecialFlickEffect,SpecialHitEffect,SpecialHitEffectObstacle,SpecialHitEffectEdge,SpecialMoveEffect,EndSpecialEffect,DrawBackSpecialLoop,SpecialRollLoop,TakeDamageEffect,DieEffect,RollSound,ShadowHeight,BecomesActiveEffect,World,BaseExportName,PassiveAbility,PassiveAbilityOpensRank,TipPortraitSWF,TipPortraitExportName,TiredTimer
String,String,String,boolean,String,String,String,String,String,int,String,String,String,String,String,String,String,String,String,String,String,String,int,int,int,int,String,String,int,int,int,String,String,int,int,int,int,String,int,String,String,int,int,int,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,int,String,String,String,String,int,String,String,int
AdvBoy,TID_ADVBOY,TID_CHARACTER_INFO_ADVBOY,false,sc/characters.sc,chr_advBoy_lvl01,weapon,advBoy_weapon_01,sc/ui.sc,76,icon_power_speed,vignette_advboy_special,TID_SPECIAL_ADVBOY,TID_SPECIAL_ADVBOY_DESC,TID_ABILITY_ADVBOY,TID_ABILITY_ADVBOY_DESC,sc/ui.sc,icon_ability_2x,sc/characters.sc,chr_wizard_icon,sc/ui.sc,icon_selectChracter_advboy,0,0,15,1,,,25,38,260,Gold,"0,60,0,0,0,0,0",125,12,1125,30,extraspeed,0,,,,,2250,Generic Hit,Advboy hit enemy,Advboy Flick,Move,Advboy Aim Effect,AdvBoy Special Flick,aBoy Special Hit,aBoy Special Hit,aBoy Special Hit,Advboy Special Move,Common End Special,,Roll Loop,AdvBoy Take Damage,Player Die Effect,Roll Loop,30,Character Becomes Active,Forest,chrBase_spookyA,lucky_strike,5,sc/ui.sc,tip_chr_aboy,60
,,,,,chr_advBoy_lvl02,weapon,advBoy_weapon_02,,76,,,,,,,,,,,,,,,30,2,,,28,40,290,,"0,100,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl03,,,,76,,,,,,,,,,,,,,,60,3,,,30,44,310,,"0,350,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl04,,,,76,,,,,,,,,,,,,,,1800,3,,,33,47,350,,"0,700,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl05,,,,76,,,,,,,,,,,,,,,7200,5,,,37,50,380,,"0,1000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl05,weapon,advBoy_weapon_03,,74,,,,,,,,,,,,,,,14400,7,,,40,55,420,,"0,2000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl06,,,,74,,,,,,,,,,,,,,,28800,9,,,44,59,460,,"0,6000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl07,,,,74,,,,,,,,,,,,,,,43200,11,,,49,63,510,,"0,10500,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl07,weapon,advBoy_weapon_04,,74,,,,,,,,,,,,,,,64800,13,,,54,68,560,,"0,20000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
