Name,TID,InfoTID,Cost,CreateTime,Action,RequiredXP,ActionCount,UnavailableAfterUnequip,IconSWF,IconExportName,UpgradeTID
String,String,String,String,int,String,int,int,int,String,String,String
GetEnergy,TID_ITEM_GET_ENERGY,TID_ITEM_GET_ENERGY_INFO,"0,7500,0,3,0,0,0",5,GET_ENERGY,4,1,3600,sc/ui.sc,item_get_energy,
GetXP,TID_ITEM_GET_XP,TID_ITEM_GET_XP_INFO,"0,12500,0,2,0,6,0",10,GET_XP,4,5,3600,sc/ui.sc,item_get_xp,TID_UPGRADE_GIVES_TO_ITEM_PERCENT
,,,"0,25000,0,10,2,6,0",,GET_XP,5,7,3600,,,
,,,"0,75000,0,6,2,20,8",,GET_XP,6,10,3600,,,
GetGold,TID_ITEM_GET_GOLD,TID_ITEM_GET_GOLD_INFO,"0,12500,0,0,5,0,2",5,GET_GOLD,5,5,3600,sc/ui.sc,item_get_gold,TID_UPGRADE_GIVES_TO_ITEM_PERCENT
,,,"0,45000,0,10,2,6,0",,GET_GOLD,6,7,3600,,,
,,,"0,15000,0,6,2,20,8",,GET_GOLD,7,10,3600,,,
BarrelOdds,TID_ITEM_GET_BARREL_HP,TID_ITEM_GET_BARREL_HP_INFO,"0,10000,0,0,4,6,3",5,GET_HP_BARREL,5,30,3600,sc/ui.sc,item_barrel_hp,TID_UPGRADE_GIVES_TO_ITEM_PERCENT
,,,"0,35000,0,0,8,4,4",,GET_HP_BARREL,7,40,3600,,,
PlusCombo,TID_ITEM_GIVE_PLUS_COMBO,TID_ITEM_GIVE_PLUS_COMBO_INFO,"0,10000,0,2,3,3,0",5,TOUCH_PLUS_COMBO,8,1,3600,sc/ui.sc,item_bounce,TID_UPGRADE_GIVES_TO_ITEM_EXTRA
,,,"0,50000,0,5,6,6,1",5,TOUCH_PLUS_COMBO,10,2,3600,,,
HPPlus,TID_ITEM_HP_PLUS,TID_ITEM_HP_PLUS_INFO,"0,12500,0,0,6,2,0",10,HP_PLUS,12,5,3600,sc/ui.sc,item_protection,TID_UPGRADE_GIVES_TO_ITEM_PERCENT
,,,"0,25000,0,0,12,4,2",,HP_PLUS,14,7,3600,,,
,,,"0,75000,0,2,20,8,4",,HP_PLUS,16,10,3600,,,
SpecialAttackPlus,TID_ITEM_SPECIAL_ATT_PLUS,TID_ITEM_SPECIAL_ATT_PLUS_INFO,"0,45000,0,4,0,0,3",5,SPECIAL_ATT_PLUS,10,5,3600,sc/ui.sc,item_spec_attack_plus,TID_UPGRADE_GIVES_TO_ITEM_PERCENT
,,,"0,125000,0,8,0,2,6",,SPECIAL_ATT_PLUS,12,7,3600,,,
,,,"0,250000,0,16,0,4,10",,SPECIAL_ATT_PLUS,14,10,3600,,,
GetHpEnemyCombo,TID_ITEM_SPECIAL_HP,TID_ITEM_SPECIAL_HP_INFO,"0,125000,0,3,3,2,0",5,GET_HP_ON_ENEMY_COMBO,12,4,3600,sc/ui.sc,item_special_shield,TID_UPGRADE_GIVES_TO_ITEM_EXTRA
,,,"0,150000,0,3,0,2,1",,GET_HP_ON_ENEMY_COMBO,14,6,3600,,,
,,,"0,225000,0,3,0,2,4",,GET_HP_ON_ENEMY_COMBO,16,8,3600,,,
StartCombo,TID_ITEM_START_COMBO,TID_ITEM_START_COMBO_INFO,"0,25000,0,0,3,0,2",15,START_COMBO,14,3,3600,sc/ui.sc,item_combo_plus,TID_UPGRADE_GIVES_TO_ITEM_NUM
,,,"0,65000,0,0,6,3,4",,START_COMBO,16,4,3600,,,
,,,"0,125000,0,4,12,4,6",,START_COMBO,20,5,3600,,,
DoubleDmg,TID_ITEM_GET_DOUBLE_DMG,TID_ITEM_GET_DOUBLE_DMG_INFO,"0,50000,0,1,3,0,2",5,DOUBLE_FIFTH_MOVE,15,,3600,sc/ui.sc,item_double_damage,
DmgPlus,TID_ITEM_DMG_PLUS,TID_ITEM_DMG_PLUS_INFO,"0,45000,0,6,0,0,2",20,DMG_PLUS,16,5,3600,sc/ui.sc,item_damage_plus,TID_UPGRADE_GIVES_TO_ITEM_PERCENT
,,,"0,125000,0,12,2,2,4",,DMG_PLUS,18,7,3600,,,
,,,"0,250000,0,20,4,4,8",,DMG_PLUS,20,10,3600,,,
Shield,TID_ITEM_START_SHIELD,TID_ITEM_START_SHIELD_INFO,"0,150000,0,3,3,2,0",5,START_SHIELD,18,,3600,sc/ui.sc,item_get_shield,
