Name,Scale,SWF,ExportName,World,Disabled,ThreatValue,ShadowSWF,ShadowExportName,ShadowAlpha,ShadowHeight,DamageOnTouch,VelocityModifierOnCollision,IsLevelEdge,Hitpoints,Shape,Radius,InvDir,Width,Height,LifeInTurns,SpecialAttackCanRemove,HitEffect,DieEffect,SpawnCollectableOnHit,SpawnEnemyOnHit,SpawnEnemyOnHitRank,SpawnObstacleWhenDie,NoCollisionWhenDies,Passthrough,SlowdownDuringPassthrough,PassEffect,SpawnEffect,AreaDmgFx1,AreaDmgFx2,PreObjectLayer
String,int,String,String,String,Boolean,int,String,String,boolean,int,int,int,boolean,int,String,int,String,int,int,int,boolean,String,String,String,String,int,String,boolean,boolean,int,String,String,String,String,Boolean
Cactus,100,sc/env_desert.sc,ob_cactus_01,Desert,TRUE,,,,true,,25,95,,,CIRCLE,16,,,,,true,Cactus Hit,Bush Die,,,,,,,,,,,,
Beehive,100,sc/characters.sc,ob_beehive_lvl1,Forest,,25,,,,10,0,95,,3,CIRCLE,35,,,,,true,Bee Hive Hit,Beehive Die,,Bee,1,,,,,,,,,
,,,ob_beehive_lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ob_beehive_lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bomb,100,sc/env_forest.sc,ob_bomb_01,,TRUE,,,,,,50,95,,1,CIRCLE,32,,,,,,Generic Hit,Book Hit,,,,,,,,,,,,
Bush_A,100,sc/characters.sc,bush_A_Master,Forest,,8,,,,25,,95,,,CIRCLE,30,,,,,,Tree Hit,Bush Die,,,,,,,,,,,,
Stone Wall,100,sc/env_forest.sc,ob_stoneWall_hit01,,TRUE,,,,,,0,95,,3,RECT,,,30,30,,,Hit Stone Wall,Die Stone Wall,,,,,true,,,,,,,
,,,ob_stoneWall_hit02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ob_stoneWall_hit03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal Wall,100,sc/env_forest.sc,ob_metalWall_hit01,Forest,TRUE,,,,,,0,95,,,RECT,,,50,50,,,Generic Hit,Book Hit,,,,,,,,,,,,
HedgeA,100,sc/characters.sc,ob_hedgeA_01,Forest,,5,,,,40,,95,,,RECT,,,65,65,,,Tree Hit,Small Bushdie,,,,,,,,,,,,
HedgeB,100,sc/characters.sc,ob_hedgeB_01,Forest,,5,,,,40,,95,,,RECT,,,65,65,,,Tree Hit,Small Bushdie,,,,,,,,,,,,
Mushroom,100,sc/env_spooky.sc,ob_mushroom_master,Spooky,,10,,,,25,,125,,,CIRCLE,30,,,,,,Mushroom Hit,Mushroom Hit2,,,,,,,,,,,,
Magic Books,100,sc/env_spooky.sc,ob_books_lvl1,Spooky,,30,,,,,0,95,,3,RECT,,,68,50,,,Book Hit,Pop Bang,,Baby Spider,1,,,,,,,,,
,,,ob_books_lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ob_books_lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
