Name,ParticleSwf,ParticleExportName,ParticleCount,EmissionTime,MinLife,MaxLife,StartScale,EndScale,RandomStartScale,MinHorizAngle,MaxHorizAngle,MinVertAngle,MaxVertAngle,MinSpeed,MaxSpeed,StartZ,Gravity,Inertia,MinRotate,MaxRotate,DisableRotation,FadeOutTime,StartRadius,StartRadiusMax,ScaleTimeline,OrientToMovement,OrientToParent,OrientToImpact,BounceFromGround,StopAnimationAfterBounce,AdditiveBlend,UseMovingEmitter,EmitterMinHorizAngle,EmitterMaxHorizAngle,EmitterMinVertAngle,EmitterMaxVertAngle,EmitterMinSpeed,EmitterMaxSpeed,EmitterGravity,EmitterInertia,EmitterIndicatorSwf,EmitterIndicatorExportName
String,String,String,int,int,int,int,int,int,boolean,int,int,int,int,int,int,int,int,int,int,int,boolean,int,int,int,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,int,int,int,int,int,int,int,int,String,String
basic_hit1,sc/characters.sc,sfx_star_01,7,1,200,300,7,15,,0,360,0,360,250,1250,0,0,1000,0,360,,250,100,500,,,,true,,,TRUE,,,,,,,,,,,
basic_hit2,sc/characters.sc,sfx_star_01,1,1,100,350,7,20,,85,95,0,0,150,750,0,0,500,0,360,,200,50,500,,,,true,,,TRUE,,,,,,,,,,,
basic_hit3,sc/characters.sc,sfx_star_01,1,1,100,350,10,40,,265,275,0,0,150,750,0,0,500,0,360,,100,120,500,,,,true,,,TRUE,,,,,,,,,,,
plus_combo1,sc/ui.sc,fx_pop_p1_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
plus_combo2,sc/ui.sc,fx_pop_p2_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
plus_combo3,sc/ui.sc,fx_pop_p3_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
plus_combo4,sc/ui.sc,fx_pop_p4_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
plus_combo5,sc/ui.sc,fx_pop_p5_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
plus_combo_max,sc/ui.sc,fx_pop_max_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
minus_combo1,sc/ui.sc,fx_pop_m1_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
minus_combo2,sc/ui.sc,fx_pop_m2_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
minus_combo3,sc/ui.sc,fx_pop_m3_combo,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,120,0,TRUE,,,,,,,,,,,,,,,,,
double_dmg_fx,sc/ui.sc,fx_pop_2xdamage,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,0,0,TRUE,,,,,,,,,,,,,,,,,
impact_01,sc/characters.sc,fx_starFlicker,20,1,40,90,20,200,,160,190,0,360,200,500,0,0,5000,0,360,,80,200,5000,,,,true,,,,,,,,,,,,,,
,,fx_starFlicker_glow,,,,,,,,,,,,0,0,,0,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
Impact_02,sc/characters.sc,fx_starFlicker_glow,20,1,60,140,30,120,,0,190,0,360,200,500,0,0,5000,0,360,,70,200,5000,,,,true,,,TRUE,,,,,,,,,,,
fx_starFlicker_glow,sc/characters.sc,fx_starFlicker_glow,5,,450,600,40,150,,0,360,0,360,150,450,10,0,200,0,360,,500,500,5000,TRUE,,,,,,,,,,,,,,,,,
fx_starFlicker_glow_blue,sc/characters.sc,fx_starFlicker_glow_blue,10,0,100,600,20,80,,0,360,0,0,50,100,10,0,500,0,360,,200,2000,2500,TRUE,,,,,,,,,,,,,,,,,
,,fx_starFlicker_glow,2,,,,200,300,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
take_damage,sc/characters.sc,sfx_cloud_01,30,,100,300,5,30,,0,360,0,360,100,600,10,0,500,0,360,,800,3000,3200,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,
die,sc/characters.sc,fx_skull_01,1,1,500,2000,50,100,,60,100,80,90,500,800,10,0,10,0,20,,2000,2000,3000,TRUE,,,,,,,,,,,,,,,,,
die_small,sc/characters.sc,fx_skull_01,1,1,500,2000,30,70,,60,100,80,90,500,800,10,0,10,0,20,,2000,2000,3000,,,,,,,,,,,,,,,,,,
generic_attack,sc/characters.sc,sfx_star_01,1,,350,650,90,10,,0,360,0,360,500,450,10,0,5,0,360,,,60,75,,,,,,,,,,,,,,,,,,
move_fx_starFlicker_glow_blue,sc/characters.sc,fx_starFlicker_glow_blue,3,0,400,600,20,40,,0,360,0,0,50,100,10,0,500,0,360,,500,2000,2500,TRUE,,,,,,,,,,,,,,,,,
blue_star_explode_A,sc/characters.sc,fx_pop_starBlue_01,5,5,200,300,5,100,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
yellow_star_explode_A,sc/characters.sc,fx_pop_starYellow_01,5,5,200,300,5,100,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
green_star_explode_A,sc/characters.sc,fx_pop_starGreen_01,5,5,200,300,5,100,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
blue_star_explode_sml,sc/characters.sc,fx_pop_starBlue_01,20,5,200,300,5,20,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
yellow_star_explode_sml,sc/characters.sc,fx_pop_starYellow_01,20,5,200,300,5,20,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
green_star_explode_sml,sc/characters.sc,fx_pop_starGreen_01,20,5,200,300,5,20,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
red_star_explode_sml,sc/characters.sc,fx_pop_starRed_01,20,5,200,300,5,20,TRUE,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
red_star_explode_A,sc/characters.sc,fx_pop_starRed_01,5,5,200,300,50,100,,0,360,0,360,600,1000,0,0,300,0,50,,200,0,2000,,,,,,,TRUE,,,,,,,,,,,
blue_star_explode_B,sc/characters.sc,fx_pop_starBlue_01,3,1,10,300,10,120,,0,360,0,0,100,500,0,0,200,0,50,,50,300,400,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,
yellow_star_explode_B,sc/characters.sc,fx_pop_starYellow_01,3,1,10,300,10,120,,0,360,0,0,100,800,0,0,200,0,50,,50,300,400,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,
red_star_explode_B,sc/characters.sc,fx_pop_starRed_01,3,1,10,300,10,120,,0,360,0,0,100,1000,0,0,200,0,50,,50,300,400,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,
pop_bang_01,sc/characters.sc,fx_pop_bang_01,1,0,400,400,50,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
pop_zlonk_01,sc/characters.sc,fx_pop_zlonk_01,1,0,400,400,50,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
pop_pow_01,sc/characters.sc,fx_pop_pow_01,1,0,400,400,50,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
pop_zap_01,sc/characters.sc,fx_pop_zap_01,1,0,400,400,50,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
pop_smash_01,sc/characters.sc,fx_pop_smash_01,1,0,400,400,50,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
test,sc/characters.sc,fx_pop_starRed_01,1,1,500,500,10,500,TRUE,,,,,100,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,
combo_explode_red_01,sc/characters.sc,fx_pop_starYellow_01,100,1,100,500,5,30,TRUE,0,360,0,0,400,1000,0,0,50,-30,30,TRUE,30,2000,5000,TRUE,,,,,,TRUE,,,,,,,,,,,
explode_blue_01,sc/characters.sc,fx_pop_starBlue_01,200,150,20,400,20,35,,0,360,0,0,100,300,0,0,0,0,0,,300,500,1000,TRUE,,,,,,TRUE,,,,,,,,,,,
fx_ghost_attack,sc/characters.sc,fx_ghostAttack,1,0,300,300,1,400,,0,0,0,0,,,0,0,0,0,0,,80,200,300,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,
pop_die,sc/characters.sc,fx_pop_bang_01,1,0,400,400,50,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
,,fx_pop_zlonk_01,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,fx_pop_pow_01,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,fx_pop_zap_01,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,fx_pop_smash_01,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
