Name,SWF,ExportName,ParticleEmitter,Scale,Speed,StartHeight,StartOffset,PushBackSpeed,HitRadius,IsBallistic,ShadowSWF,ShadowExportName,ShadowScaling,ShadowAlpha,UseTopLayer,BounceFromWalls,BounceCount,SlowdownToSpeedRatio,SlowdownModifier,HitTargetEffect,DieEffect,AreaDamageRadius,AreaDamagePushback,DisableCollisionDamage,SpawnObstacle,Ballistic,DoNotDestroyObstaclesOnArea,SpawnProjectile,SpawnProjectileCount
String,String,String,String,int,int,int,int,int,int,boolean,String,String,boolean,boolean,boolean,boolean,int,int,int,String,String,int,int,boolean,String,boolean,boolean,String,int
spider_ball_01,sc/characters.sc,fx_spiderBall_01,,80,700,12,16,50,8,,,,true,true,true,,,,,,,,,,,,,,
spider_ball_02,sc/characters.sc,fx_spiderBall_02,,80,700,12,16,50,8,,,,true,true,true,,,,,,,,,,,,,,
gem_beetle_ball_01,sc/characters.sc,fx_gemBeetleBall_01,,80,700,18,24,75,12,,,,true,true,true,,,,,,,,,,,,,,
flower_projectile,sc/characters.sc,fx_jellyballYellow_01,,80,700,15,16,50,8,,,,true,true,true,,,,,,,,,,,,,,
skull_fireball_01,sc/characters.sc,fireball_projectile1,skull_fireball_trail_emitter,80,500,25,50,50,24,,,,true,true,,,,,,,,,,,,,,,
special_attack_fireball_01,sc/characters.sc,fireball_projectile1,skull_fireball_trail_emitter,80,1200,25,50,50,24,,,,true,true,,,,,,,,,,,,,,,
wizard_fireball_01,sc/characters.sc,wizard_fireball_lvl1_projectile,fireball_trail_emitter,80,850,,,100,24,,,,true,true,,,,40,980,Wizard Fireball Hit,Wizard Fireball Hit,125,,true,,,,,
fairy_ball_01,sc/characters.sc,fx_spiderBall_01,fairy_sparkleDustA,80,950,20,50,0,24,false,,,true,true,,,,,,Fairy Special Projectile Hit,Fairy Special Projectile Hit,125,,true,Fairy Ring,,true,,
yeti_snow_ball,sc/characters.sc,fx_snowball,,20,200,250,125,25,24,,,,true,true,true,,,,,Yeti Snowball Hit,Yeti Snowball Hit,32,4,,,true,true,,
yeti_snow_ball2,sc/characters.sc,fx_snowball2,,20,200,250,125,25,24,,,,true,true,true,,,,,Yeti Snowball Hit,Yeti Snowball Hit,32,4,,,true,true,,
cannon_ball_01,sc/characters.sc,fx_cannonBall_master,cannonBall_trail,70,400,24,60,50,15,,,,true,true,,,,40,950,Wizard Fireball Hit,Wizard Fireball Hit,100,3,,,,,,
cannon_ball_spawner,sc/characters.sc,pirate_cannon,cannonBall_trail,70,450,0,30,0,35,,,,true,true,,,,30,980,Pop Zap,Pop Zap,,,,Pirate Turret,,,,
cannon_ball_spawner2,sc/characters.sc,pirate_cannon_02,cannonBall_trail,70,450,0,30,0,35,,,,true,true,,,,30,980,Pop Zap,Pop Zap,,,,Pirate Turret2,,,,
cannon_ball_spawner3,sc/characters.sc,pirate_cannon_03,cannonBall_trail,70,450,0,30,0,35,,,,true,true,,,,30,980,Pop Zap,Pop Zap,,,,Pirate Turret3,,,,
space_girl_laser,sc/characters.sc,fx_space_lazer,space_lazer_trail,110,500,12,20,100,10,,,,true,true,true,,,30,980,Lazer Hit,Lazer Hit,,,,,,,,
space_girl_laser2,sc/characters.sc,fx_space_lazer,space_lazer_trail,110,600,12,20,0,8,,,,true,true,true,,,,,Lazer Hit,Lazer Hit,,,,,,,,
space_girl_laser3,sc/characters.sc,fx_space_lazer,space_lazer_trail,110,500,12,20,0,8,,,,true,true,true,,,,,Lazer Hit,Lazer Hit,,,,,,,,
wizard_fireball_02,sc/characters.sc,wizard_fireball_lvl2_projectile,fireball_trail_emitter_blue,110,950,,,120,24,,,,true,true,,,,40,980,Wizard Fireball Hit Blue,Wizard Fireball Hit Blue,125,,true,,,,,
