Name,TID,IconSWF,IconExportName,IconUiExportName,World,RequiredXpLevel,RequiredQuest,QuestType,LevelFile,GoalMoveCount,MinEnemies,MinObstacles,Energy,GoldRewardOverride,XpRewardOverride,AIBehaviour,AIInaccuracy,Hidden,MinGoldDrop,MaxGoldDrop,League,SortOrder
String,String,String,String,String,String,int,String,String,String,int,int,int,int,int,int,String,int,boolean,int,int,String,int
Forest,TID_QUEST_FOREST,sc/map.sc,island_btn_forestA,island_ui_master,Forest,1,,Basic,level/forest_1_1.json,24,,,2,55,20,,,,0,0,,100
,,,,,Forest,,,,level/forest_1_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_1_4.json,,,,,,,,,,,,,
ForestWizard,TID_QUEST_FOREST_WIZARD,sc/map.sc,island_btn_wizard,island_ui_master,Forest,1,Forest,Unlock,level/forest_wizard.json,0,,,0,0,0,Dummy,,,0,0,,100
Forest2,TID_QUEST_FOREST2,sc/map.sc,island_btn_forestD,island_ui_master,Forest,1,ForestWizard,Basic,level/forest_2_1.json,49,,,2,50,20,,,,2,10,,100
,,,,,Forest,,,,level/forest_2_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_2_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_2_5.json,,,,,,,,,,,,,
Forest3,TID_QUEST_FOREST3,sc/map.sc,island_btn_forestE,island_ui_master,Forest,3,ForestPrincess,Basic,level/forest_3_1.json,56,,,2,50,20,,,,2,10,,100
,,,,,Forest,,,,level/forest_3_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_3_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_3_5.json,,,,,,,,,,,,,
Forest4,TID_QUEST_FOREST4,sc/map.sc,island_btn_forestD,island_ui_master,Forest,3,Forest3,Basic,level/forest_4_1.json,55,,,2,52,30,,,,2,10,,100
,,,,,Forest,,,,level/forest_4_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_4_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_4_5.json,,,,,,,,,,,,,
ForestPrincess,TID_QUEST_FOREST_PRINCESS,sc/map.sc,island_btn_princess,island_ui_master,Forest,2,Forest2,Unlock,level/forest_princess.json,0,,,0,0,0,Dummy,,,0,0,,100
Forest5,TID_QUEST_FOREST5,sc/map.sc,island_btn_forestE,island_ui_master,Forest,3,Forest4,Basic,level/forest_5_1.json,78,,,2,46,25,,,,2,10,,100
,,,,,Forest,,,,level/forest_5_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_5_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_5_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_5_5.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_5_6.json,,,,,,,,,,,,,
ForestBeeBoss,TID_QUEST_FOREST_BEE_BOSS,sc/map.sc,island_btn_forestC,island_ui_master,Forest,3,Forest5,Basic,level/forest_6_1.json,60,,,4,100,50,,,,2,10,,100
,,,,,Forest,,,,level/forest_6_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_6_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_6_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest_6_5.json,,,,,,,,,,,,,
