Name,Cost,TauntText,CharacterUnlock,Resource,UnlockLevel,UnlockedInBeginning,ParamType
String,int,String,String,String,int,boolean,String
Taunt1,0,TID_EMOTE1,,Gold,1,TRUE,
Taunt2,0,TID_EMOTE2,,Gold,1,TRUE,
Taunt3,0,TID_EMOTE3,,Gold,1,TRUE,
Taunt4,0,TID_EMOTE4,,Gold,1,TRUE,
Taunt5,0,TID_EMOTE5,,Gold,1,TRUE,
Taunt6,0,TID_EMOTE6,,Gold,1,TRUE,
Taunt7,100,TID_EMOTE7,,Gold,7,,
Taunt8,200,TID_EMOTE8,,Gold,7,TRUE,
Taunt9,300,TID_EMOTE9,,Gold,7,,
TauntAdvBoy,1000,TID_EMOTE_ADVBOY,AdvBoy,Gold,7,,
TauntWizard,250,TID_EMOTE_WIZARD,Wizard,Gold,7,,
TauntMummy,200,TID_EMOTE_MUMMY,Mummy,Gold,8,,
TauntPirate,200,TID_EMOTE_PIRATE,Pirate,Gold,8,,
TauntPrincess,200,TID_EMOTE_PRINCESS,Princess,Gold,8,,
TauntYeti,400,TID_EMOTE_YETI,Yeti,Gold,9,,
TauntBarrel,400,TID_EMOTE_TNT,Barrel,Gold,9,,
TauntGenie,400,TID_EMOTE_GENIE,Genie,Gold,9,,
TauntFairy,600,TID_EMOTE_FAIRY,Fairy,Gold,9,,
Taunt10,800,TID_EMOTE10,,Gold,10,,
Taunt11,800,TID_EMOTE11,,Gold,10,,
Taunt12,800,TID_EMOTE12,,Gold,10,,
Taunt13,1000,TID_EMOTE13,,Gold,11,,
Taunt14,1500,TID_EMOTE14,,Gold,12,,
Taunt15,2000,TID_EMOTE15,,Gold,13,,
Taunt16,2500,TID_EMOTE16,,Gold,14,,
Taunt17,3000,TID_EMOTE17,,Gold,15,,
Taunt18,3500,TID_EMOTE18,,Gold,16,,
Taunt19,4000,TID_EMOTE19,,Gold,17,,
Taunt20,5000,TID_EMOTE20,,Gold,18,,
Taunt21,6000,TID_EMOTE21,,Gold,19,,
Taunt22,7000,TID_EMOTE22,,Gold,20,,
Taunt23,8000,TID_EMOTE23,,Gold,21,,
Taunt24,10000,TID_EMOTE24,,Gold,22,,
Taunt25,1500,TID_EMOTE25,,Gold,11,,
