Name,Type,Level,SimilarityValue,CanBeInNewTeam,TID,InfoTID,Action,ActionCount,DiamondReward,CompletedTID,Hero,NPC,Obstacle,SortIndex,Enabled
String,int,int,int,boolean,String,String,String,int,int,String,String,String,String,int,boolean
destroy_heroes_with_fireball0,0,0,1,TRUE,TID_TEAM_GOAL_KILL_HEROES_WITH_FIREBALL,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_FIREBALL,destroy_hero_fireball,150,1,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_FIREBALL_COMPLETE,,,,2,
destroy_heroes_with_fireball1,0,1,1,TRUE,TID_TEAM_GOAL_KILL_HEROES_WITH_FIREBALL,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_FIREBALL,destroy_hero_fireball,300,2,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_FIREBALL_COMPLETE,,,,2,
destroy_heroes_with_fireball2,0,2,1,TRUE,TID_TEAM_GOAL_KILL_HEROES_WITH_FIREBALL,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_FIREBALL,destroy_hero_fireball,600,4,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_FIREBALL_COMPLETE,,,,2,
destroy_heroes_with_tnt0,1,0,1,,TID_TEAM_GOAL_KILL_HEROES_WITH_TNT,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_TNT,destroy_hero_tnt,100,1,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_TNT_COMPLETE,,,,3,
destroy_heroes_with_tnt1,1,1,1,,TID_TEAM_GOAL_KILL_HEROES_WITH_TNT,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_TNT,destroy_hero_tnt,250,2,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_TNT_COMPLETE,,,,3,
destroy_heroes_with_tnt2,1,2,1,,TID_TEAM_GOAL_KILL_HEROES_WITH_TNT,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_TNT,destroy_hero_tnt,500,4,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_TNT_COMPLETE,,,,3,
destroy_heroes_with_cannon0,2,0,1,,TID_TEAM_GOAL_KILL_HEROES_WITH_CANNON,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_CANNON,destroy_hero_cannon,50,1,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_CANNON_COMPLETE,,,,2,
destroy_heroes_with_cannon1,2,1,1,,TID_TEAM_GOAL_KILL_HEROES_WITH_CANNON,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_CANNON,destroy_hero_cannon,100,2,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_CANNON_COMPLETE,,,,2,
destroy_heroes_with_cannon2,2,2,1,,TID_TEAM_GOAL_KILL_HEROES_WITH_CANNON,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_CANNON,destroy_hero_cannon,200,4,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_CANNON_COMPLETE,,,,2,
destroy_heroes_with_princess0,3,0,2,,TID_TEAM_GOAL_KILL_HEROES_WITH_PRINCESS,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_PRINCESS,destroy_with,250,1,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_PRINCESS_COMPLETE,Princess,,,1,
destroy_heroes_with_princess1,3,1,2,,TID_TEAM_GOAL_KILL_HEROES_WITH_PRINCESS,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_PRINCESS,destroy_with,500,2,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_PRINCESS_COMPLETE,Princess,,,1,
destroy_heroes_with_princess2,3,2,2,,TID_TEAM_GOAL_KILL_HEROES_WITH_PRINCESS,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_PRINCESS,destroy_with,1000,4,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_PRINCESS_COMPLETE,Princess,,,1,
destroy_heroes_with_advboy0,4,0,2,TRUE,TID_TEAM_GOAL_KILL_HEROES_WITH_ADVENTURE_BOY,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_ADVENTURE_BOY,destroy_with,200,1,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_ADVENTURE_BOY_COMPLETE,AdvBoy,,,4,
destroy_heroes_with_advboy1,4,1,2,TRUE,TID_TEAM_GOAL_KILL_HEROES_WITH_ADVENTURE_BOY,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_ADVENTURE_BOY,destroy_with,400,2,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_ADVENTURE_BOY_COMPLETE,AdvBoy,,,4,
destroy_heroes_with_advboy2,4,2,2,TRUE,TID_TEAM_GOAL_KILL_HEROES_WITH_ADVENTURE_BOY,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_ADVENTURE_BOY,destroy_with,800,4,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_ADVENTURE_BOY_COMPLETE,AdvBoy,,,4,
