Name,Value
String,int
QuestSessions,
BorrowedHeroCount,
PVPMatchCount,
WinStreak,
BiggestWinStreak,
HeroCombo,
UntouchableQuestCount,
BiggestBounceCombo,
TotalHealAmount,
PVPWinCount,
PVPLoseCount,
MonsterKills,
LastSailingHeroRank,
SailCount,
HeroCombo3,
PerfectPVPCount,
IgnoreOngoingQuest,
TeamGoalDiamondState,
IntroSeen,
SpellSlotsUnlocked,
NextOrbType,
NextOrbTypeEvent1,
NextOrbTypeEvent2,
CurrentSailDurationSlot,
SailRewardUnclaimed,
EventChestProgress,
LastStoredEventTimestamp,
OrbExtraReward,
PvpChestProgress,
PvpChestProgressUPDATED,
