Name,SWF,ExportName,Sound,ParticleEmitter,AttachToParent,Looping,MaxCount,CameraShake
String,String,String,String,String,boolean,boolean,int,int
Match,sc/blocks.sc,RedDestroy,,Match,,,12,
BlueMatch,sc/blocks.sc,BlueDestroy,,BlueMatch,,,12,
RedMatch,sc/blocks.sc,RedDestroy,,RedMatch,,,12,
YellowMatch,sc/blocks.sc,YellowDestroy,,YellowMatch,,,12,
GreenMatch,sc/blocks.sc,GreenDestroy,,GreenMatch,,,12,
PurpleMatch,sc/blocks.sc,PurpleDestroy,,PurpleMatch,,,12,
BlueBoostMatch,sc/blocks.sc,GlassShatterFX,use blue special,BlueMatch,,,12,
,,,,GlassShatter1,,,12,
RedBoostMatch,sc/blocks.sc,GlassShatterFX,use red special,RedMatch,,,12,
,,,,GlassShatter2,,,12,
YellowBoostMatch,sc/blocks.sc,GlassShatterFX,use yellow special,YellowMatch,,,12,
,,,,GlassShatter3,,,12,
GreenBoostMatch,sc/blocks.sc,GlassShatterFX,use green special,GreenMatch,,,12,
,,,,GlassShatter2,,,12,
PurpleBoostMatch,sc/blocks.sc,GlassShatterFX,use purple special,PurpleMatch,,,12,
,,,,GlassShatter3,,,12,
AttackBoost,sc/effects.sc,AttackBoostActive,,ArrowsUp,TRUE,,12,
HealthBoost,sc/effects.sc,HealthBoostActive,,CrossParticle,TRUE,,12,
BlueCombo,sc/blocks.sc,BlueComboShatter,,BlueMatch,,,12,
,,,,GlassShatter1,,,12,
RedCombo,sc/blocks.sc,RedComboShatter,,RedMatch,,,12,
,,,,GlassShatter2,,,12,
PurpleCombo,sc/blocks.sc,PurpleComboShatter,,PurpleMatch,,,12,
,,,,GlassShatter3,,,12,
GreenCombo,sc/blocks.sc,GreenComboShatter,,GreenMatch,,,12,
,,,,GlassShatter3,,,12,
YellowCombo,sc/blocks.sc,YellowComboShatter,,YellowMatch,,,12,
,,,,GlassShatter3,,,12,
RedBoostSpawn,,,get red special,SoftPuff,,,10,
,,,,SpawnGlow,,,,
GreenBoostSpawn,,,get red special,SoftPuff,,,10,
,,,,SpawnGlow,,,,
BlueBoostSpawn,,,get red special,SoftPuff,,,10,
,,,,SpawnGlow,,,,
YellowBoostSpawn,,,get red special,SoftPuff,,,10,
,,,,SpawnGlow,,,,
PurpleBoostSpawn,,,get red special,SoftPuff,,,10,
,,,,SpawnGlow,,,,
ThrowTheCat,sc/effects.sc,ThrowCatOnScreenFX,cat,,,,1,
Scratch,sc/effects.sc,Scratch,scratch,SmallPuff,TRUE,,12,
FluteTwirl,sc/effects.sc,TwirlOnScreenFX,flute,PinkSparks,,,1,
GhostDie,,,Die,,,,20,
GotEnergy,,,CoinAppear,Energy,,,2,
ItemActivated,sc/effects.sc,ItemActivated,use_item,,,,1,
FanStream,sc/effects.sc,FanStream,fan,FanDust,TRUE,,1,
,,,,FanParticle,,,,
DiscoBall,sc/effects.sc,DiscoBall,disco_time,,,,1,
Freezer,sc/effects.sc,Flasher,,SnowFlakes,TRUE,,12,
,,,,FanParticle,,,,
Mirror,sc/effects.sc,LightBeam,mirror,,TRUE,,12,
RangeAmber,sc/effects.sc,GhostRangeChargeFX,,RangeAmber,TRUE,TRUE,20,
GhostFrozen,sc/effects.sc,GhostFrozen,,,TRUE,TRUE,50,
Stunned,sc/effects.sc,Stunned,,,TRUE,TRUE,50,
EnergyDrink,sc/effects.sc,AttackBoostActive,energy drink,ArrowsUp,TRUE,TRUE,12,
Cupcake,sc/effects.sc,HealthBoostActive,cupcake,CrossParticle,TRUE,TRUE,12,
PenetrationV,sc/effects.sc,PenetrationV,,,,,20,
PenetrationH,sc/effects.sc,PenetrationH,,,,,20,
DirectBlow,sc/effects.sc,BasicProjectile,,,,,20,
ElectroShock,sc/effects.sc,ElectricBolt,,,,,20,
SplashDamage,sc/effects.sc,SplashDamage,,,,,20,
ProjectileDamage,sc/effects.sc,BeamImpact,,BeamSparks,,,40,
GhostHypnoSwirl,sc/effects.sc,GhostHypnoSwirlFX,,HypnoDust,TRUE,TRUE,5,
GhostHealCloud,sc/effects.sc,GhostHealCloudFX,,,,,20,
BuyLives,,,,LifePrt,,,1,
StarFlyToHud,,,,StarFlyToHud,,,20,
LevelUnlocked,,,,SoftPuff,,,10,
StarGained,,,,SoftPuff,,,10,
Explosion1,sc/effects.sc,TileExplosion,,,,,200,100
GhostSpawn,,,Ghost spawn,SpawnPrt,,,9,
GhostSplit,,,Ghost split,,,,10,
EnergySparkle,,,,EnergySparkle,,,20,
HeroMoveArrows,sc/effects.sc,HeroMoveArrows,flute,,TRUE,TRUE,5,
ShockwaveDamage,sc/effects.sc,ElectricBolt,,,,,10,50
AbilityReady,,,use_item,SoftPuff,,,40,
HealSplash,sc/ui.sc,AbilitySplashHeal,cat,,,,,
BoostDamageSplash,sc/ui.sc,AbilitySplashBoost,cat,,,,,
FreezeSplash,sc/ui.sc,AbilitySplashFreeze,cat,,,,,
PushbackSplash,sc/ui.sc,AbilitySplashPushback,cat,,,,,
HeroSwapSplash,sc/ui.sc,AbilitySplashSwap,cat,,,,,
LevelEndParticles,,,,LevelEndParticles,,TRUE,1,
GhostDiePink,,,Die,PinkGoo,,,20,
GhostDieGreen,,,Die,GreenGoo,,,20,
GhostDieOrange,,,Die,OrangeGoo,,,20,
GhostDiePurple,,,Die,PurpleGoo,,,20,
GhostDieBlue,,,Die,BlueGoo,,,20,
BarrelHit,sc/effects.sc,TileCinder,Die,BarrelPieces,,,20,
