Name,FileName,OutlineColor,Color,Size,MarginTop,MarginBottom,MarginLeft,MarginRight,MarginDefaultFontSize
String,String,String,String,int,int,int,int,int,int
h1,font/CREABBB.ttf,FF000000,FFFFFFFF,28,1,2,1,1,30
h2,font/CREABBB.ttf,FF000000,FFFCF9E9,22,1,2,1,1,30
h3,font/CREABBB.ttf,FF000000,FFFCF9E9,18,1,2,1,1,30
h4,font/CREABBB.ttf,FF000000,FFFFFFFF,14,1,2,1,1,30
h4i,font/CREABBB.ttf,FFFFFFFF,FF000000,14,1,2,1,1,30
c1,font/CREABBB.ttf,FFFF0000,FFFFFFFF,22,1,2,1,1,25
h5,font/CREABBB.ttf,FF000000,FFFFFFFF,12,1,2,1,1,30
c2,font/CREABBB.ttf,FFFFFFFF,fff000,12,1,2,1,1,30
h6,font/CREABBB.ttf,FF000000,FFFFFFFF,12,1,2,1,1,30
bt,font/CREABBB.ttf,FFFFFFFF,FF000000,40,2,4,2,2,40
st,font/CREABBB.ttf,FF444444,FFFFFFFF,18,1,2,1,1,20
t1,font/sc_secorigbb.ttf,FF000000,FFFFFFFF,28,1,2,1,1,30
t2,font/sc_secorigbb.ttf,FF000000,FFFCF9E9,22,1,2,1,1,30
t3,font/sc_secorigbb.ttf,FF000000,FFFCF9E9,18,1,2,1,1,30
t4,font/sc_secorigbb.ttf,FF000000,FFFFFFFF,14,1,2,1,1,30
h3b,font/huggable.ttf,,FF3b487c,22,1,2,1,1,30
h4b,font/huggable.ttf,,FF424f86,18,1,2,1,1,30
f1,font/huggable.ttf,FF000000,FFFFD800,30,1,2,1,1,30
f2,font/huggable.ttf,FF000000,FFFFFFFF,22,1,2,1,1,30
f3,font/huggable.ttf,,FF818ac4,18,1,2,1,1,30
f4,font/huggable.ttf,FF000000,FFFFFFFF,60,1,2,1,1,60
f5,font/huggable.ttf,FF000000,FFFFFFFF,35,1,2,1,1,30
f6,font/huggable.ttf,FF000000,FFFFFFFF,18,1,2,1,1,30
f7,font/huggable.ttf,,FF818ac4,22,1,2,1,1,30
f8,font/huggable.ttf,FF000000,FFFFFFFF,18,1,2,1,1,30
f9,font/huggable.ttf,FF000000,FFFFFFFF,17,1,1,1,1,100
f10,font/huggable.ttf,FF000000,FFFFFFFF,12,1,1,1,1,100
f11,font/huggable.ttf,FF000000,FFFFFFFF,30,1,2,1,1,30
f12,font/huggable.ttf,FF000000,FFFFD800,22,1,2,1,1,30
r3,font/huggable.ttf,FF000000,FFD4212A,18,1,2,1,1,30
f13,font/huggable.ttf,FF000000,FFFFFFFF,36,1,2,1,1,30
f14,font/huggable.ttf,FF000000,FFFFFFFF,14,1,2,1,1,30
g1,font/AstounderRoundBB-bld.otf,88000000,FFFFFFFF,36,0,3,1,2,36
g2r,font/AstounderRoundBB-bld.otf,88000000,FFFFFFFF,36,0,3,1,2,36
g2g,font/AstounderRoundBB-bld.otf,88000000,FFFFFFFF,36,0,3,1,2,36
g2t,font/AstounderRoundBB-bld.otf,66000000,FFFFFFFF,28,0,2,1,1,28
g3g,font/AstounderRoundBB-bld.otf,88000000,FFFFFFFF,28,0,3,2,1,28
g4,font/AstounderRoundBB-bld.otf,88000000,FFFFFFFF,28,0,2,1,2,28
g5,font/AstounderRoundBB-bld.otf,88000000,FFFFFFFF,36,0,3,0,2,36
g6,font/AstounderRoundBB-bldital.otf,FF4e1878,FFFFFFFF,72,1,4,2,1,72
gt1,font/AstounderRoundBB_reg.otf,FFFFFFFF,FF846bce,36,1,2,1,1,36
gt2,font/AstounderRoundBB_reg.otf,FFFFFFFF,FF846bce,28,1,1,1,1,28
g1p,font/AstounderRoundBB-bld.otf,FF7e00bf,Fff8a0e7,36,0,3,1,2,36
g2p,font/AstounderRoundBB-bld.otf,66000000,Ffff9adf,28,0,2,1,1,28
gsf,font/AstounderRoundBB-bldital.otf,FF5c0a74,FFFFFFFF,36,1,4,2,1,36
gdf,font/AstounderRoundBB-bldital.otf,FF9b007c,Ffffcdf1,36,1,4,2,1,36
g7,font/AstounderRoundBB-bld.otf,88000000,Ffbdfb4e,36,0,3,1,2,36
