"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","Comment"
"String","int","boolean","string","int","String","String"
"GAME_AREA_XRES",5,,,,,
"GAME_AREA_YRES",10,,,,,
"LIFE_REGENERATION_TIME_MINUTES",15,,,,,
"MAX_ENERGY",10,,,,,
"FILL_ENERGY_PRICE",10,,,,,
"PUZZLE_PIECE_DIM_PERCENT",50,,,,,
"CONTINUE_PRICE",10,,,,,
"OUT_OF_TURNS_CONTINUE_PRICE",10,,,,,
"OUT_OF_TURNS_CONTINUE_EXTRA_TURNS",3,,,,,
"SHOW_MOVE_HINT_TIME_SECONDS",6,,,,,
"HELPSHIFT_ENABLED",,"TRUE",,,,
"REVERT_MOVE_IF_NO_MATCH",,"TRUE",,,,
"AVATAR_NAME_POPUP_ENABLED",,"FALSE",,,,
"FACEBOOK_ENERGY_GIFT_AMOUNT",1,,,,,
"FACEBOOK_ENERGY_GIFT_BACK",,"TRUE",,,,
"FACEBOOK_LOGIN_TIMEOUT",20,,,,,
"SCORE_ROUNDING",10,,,,,
"STARTING_HEROES",,,,,"Musician",
,,,,,"Nerd",
,,,,,"NightGuard",
,,,,,"Scientist",
,,,,,"GymLady",
"BEAM_INTENSITY_STEPS",,,,10,,
,,,,20,,
,,,,30,,
,,,,40,,
,,,,50,,
"MATCH_TIMER_MILLIS",2025,,,,,
"MATCH_FALL_TIME",600,,,,,
"MATCH_DELAY",250,,,,,
"MATCH_DELAY_INCREMENT_WHEN_MATCH",100,,,,,
"MATCH_DELAY_DECREMENT",3,,,,,
"BOOST_BLOCK_SPAWN_TIME_MILLIS",500,,,,,
"GAME_WIDTH",7,,,,,
"GAME_HEIGHT",5,,,,,
"GAME_REQUIRED_BLOCKS_TOGETHER",3,,,,,
"SHUFFLE_MIN_SWAPS",10,,,,,
"SHUFFLE_MIN_POTENTIAL_MATCHES",3,,,,,
"STARTING_DIAMONDS",50,,,,,
"STARTING_ENERGY",500,,,,,
"FEEDBACK_EMAIL",,,"phoenix.feedback@supercell.net",,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,,
"CHARTBOOST_ENABLED",,"FALSE",,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"CHARTBOOST_URL",,,"http://www.chartboost.com/api/more.json?",,,
"GAMECENTER_REAUTHORIZE",,"FALSE",,,,
"BILLING_PACK_NAMES_FROM_CSV",,"FALSE",,,,
"FAQ_URL",,,"http://webcontent.supercell.net/coc_faq",,,
"FORUMS_URL",,,"http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans",,,
"GAME_FACEBOOK_URL",,,"http://www.facebook.com/447775968580065",,,
"MAJOR_LIMIT",20000,,,,,
"SUPER_LIMIT",100000,,,,,
"LOW_MEM_DEVICES",,,,,"iPod1",
,,,,,"iPod2",
,,,,,"iPod3",
,,,,,"iPod4",
,,,,,"iPad1",
,,,,,"iPhone2",
"LOW_GFX_DEVICES",,,,,"iPod1",
,,,,,"iPod2",
,,,,,"iPod3",
,,,,,"iPod4",
,,,,,"iPad1",
,,,,,"iPhone1",
,,,,,"iPhone2",
,,,,,"iPhone3",
"MEDIUM_GFX_DEVICES",,,,,"iPad2,5",
,,,,,"iPad2,6",
,,,,,"iPad2,7",
"SEND_EVENTS_TO_TAPJOY",,"TRUE",,,,
"SEND_EVENTS_TO_CHARTBOOST",,"TRUE",,,,
