"Name","TID","BackgroundSWF","ExportName","Puzzle","MusicPlaylist","HeroCount","PreferredHeroes","StarThresholds","Seed","FixedSeed","FreeHeroSwaps","EnergyCost","EnergyReward","GatePassRequired","RedHeroEnergy","GreenHeroEnergy","BlueHeroEnergy","YellowHeroEnergy","PurpleHeroEnergy","DisableGreenBlock","DisableRedBlock","MoveTimerMS","SkipFirstTurn"
"String","String","String","String","String","String","int","String","int","int","Boolean","int","int","int","String","int","int","int","int","int","Boolean","Boolean","int","Boolean"
"Level1","TID_LEVEL_SCHOOL","sc/levels.sc","level_lab_01","Level1","Playlist2",1,"Scientist",100,1244,,,1,,,,,,,,"false","true",100,
,,,,,,,,300,,,,,,,,,,,,,,,
,,,,,,,,500,,,,,,,,,,,,,,,
"Level2","TID_LEVEL_SCHOOL","sc/levels.sc","level_lab_01",,"Playlist2",1,"Scientist",300,12521,,,1,,,,,,,,"false","true",100,
,,,,,,,,800,,,,,,,,,,,,,,,
,,,,,,,,1200,,,,,,,,,,,,,,,
"Level3","TID_LEVEL_SCHOOL","sc/levels.sc","level_classroom_01",,"Playlist2",2,"Scientist",300,421,,,1,,,,,,,,"false","true",100,
,,,,,,,"NightGuard",3000,,,,,,,,,,,,,,,
,,,,,,,,3600,,,,,,,,,,,,,,,
"Level4","TID_LEVEL_SCHOOL","sc/levels.sc","level_classroom_01",,"Playlist2",2,"Scientist",100,61,,,1,,,,,,,,"false","true",100,
,,,,,,,"NightGuard",800,,,,,,,,,,,,,,,
,,,,,,,,890,,,,,,,,,,,,,,,
"Level5","TID_LEVEL_SCHOOL","sc/levels.sc","level_classroom_01",,"Playlist1",3,"Scientist",100,21007,,,1,,,,,,,,"false","true",100,
,,,,,,,"NightGuard",3000,,,,,,,,,,,,,,,
,,,,,,,"GymLady",3300,,,,,,,,,,,,,,,
"Level6","TID_LEVEL_SCHOOL","sc/levels.sc","level_classroom_01","Level3","Playlist2",3,"Scientist",100,623,,,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",2900,,,,,,,,,,,,,,,
,,,,,,,"GymLady",3200,,,,,,,,,,,,,,,
"Level7","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02","Level7","Playlist1",3,"Scientist",100,264,,1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",8100,,,,,,,,,,,,,,,
,,,,,,,"GymLady",8450,,,,,,,,,,,,,,,
"Level8","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",3,"Scientist",100,11028,,1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",1200,,,,,,,,,,,,,,,
,,,,,,,"GymLady",2100,,,,,,,,,,,,,,,
"Level9","TID_LEVEL_SCHOOL","sc/levels.sc","level_cafe_01",,"Playlist1",3,"Scientist",100,20,,1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",5900,,,,,,,,,,,,,,,
,,,,,,,"GymLady",6300,,,,,,,,,,,,,,,
"Level10","TID_LEVEL_SCHOOL","sc/levels.sc","level_cafe_01",,"Playlist1",3,"Scientist",100,2026,"TRUE",1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",2100,,,,,,,,,,,,,,,
,,,,,,,"GymLady",2350,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Level11","TID_LEVEL_SCHOOL","sc/levels.sc","level_cafe_01",,"Playlist1",4,"Scientist",100,5,"TRUE",1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",7600,,,,,,,,,,,,,,,
,,,,,,,"GymLady",8200,,,,,,,,,,,,,,,
,,,,,,,"Nerd",,,,,,,,,,,,,,,,
"Level12","TID_LEVEL_SCHOOL","sc/levels.sc","level_cafe_01",,"Playlist1",4,"Scientist",100,3001,"TRUE",1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",9000,,,,,,,,,,,,,,,
,,,,,,,"GymLady",9800,,,,,,,,,,,,,,,
,,,,,,,"Nerd",,,,,,,,,,,,,,,,
"Level13","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",4,"Scientist",100,5005,"TRUE",1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",3700,,,,,,,,,,,,,,,
,,,,,,,"GymLady",4000,,,,,,,,,,,,,,,
,,,,,,,"Nerd",,,,,,,,,,,,,,,,
"Level14","TID_LEVEL_SCHOOL","sc/levels.sc","level_fountain_01",,"Playlist1",4,"Scientist",100,5321,"TRUE",1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",3000,,,,,,,,,,,,,,,
,,,,,,,"GymLady",3500,,,,,,,,,,,,,,,
,,,,,,,"Nerd",,,,,,,,,,,,,,,,
"Level15","TID_LEVEL_SCHOOL","sc/levels.sc","level_fountain_01",,"Playlist1",4,"Scientist",100,6234,,1,1,,,,,,,,,"true",,
,,,,,,,"NightGuard",7000,,,,,,,,,,,,,,,
,,,,,,,"GymLady",8000,,,,,,,,,,,,,,,
,,,,,,,"Nerd",,,,,,,,,,,,,,,,
"Level16","TID_LEVEL_SCHOOL","sc/levels.sc","level_fountain_01",,"Playlist1",,,100,39,,1,1,,,,,,,,,,,
,,,,,,,,7300,,,,,,,,,,,,,,,
,,,,,,,,7800,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Level17","TID_LEVEL_SCHOOL","sc/levels.sc","level_fountain_01",,"Playlist1",,,100,2418,,1,1,,,,,,,,,,,
,,,,,,,,4000,,,,,,,,,,,,,,,
,,,,,,,,4500,,,,,,,,,,,,,,,
"Level18","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,100,2643,,1,1,,,,,,,,,,,
,,,,,,,,5900,,,,,,,,,,,,,,,
,,,,,,,,6250,,,,,,,,,,,,,,,
"Level19","TID_LEVEL_SCHOOL","sc/levels.sc","level_gym_01",,"Playlist1",,,100,9000,,1,1,,,,,,,,,,,
,,,,,,,,15500,,,,,,,,,,,,,,,
,,,,,,,,16000,,,,,,,,,,,,,,,
"Level20","TID_LEVEL_SCHOOL","sc/levels.sc","level_gym_01",,"Playlist1",,,100,1000,,1,1,,,,,,,,,,,
,,,,,,,,9000,,,,,,,,,,,,,,,
,,,,,,,,9500,,,,,,,,,,,,,,,
"Level21","TID_LEVEL_SCHOOL","sc/levels.sc","level_gym_01",,"Playlist1",,,100,2410,,1,1,,"Gate1",,,,,,,,,
,,,,,,,,7500,,,,,,,,,,,,,,,
,,,,,,,,8000,,,,,,,,,,,,,,,
"Level22","TID_LEVEL_SCHOOL","sc/levels.sc","level_gym_01",,"Playlist1",,,100,3001,,1,1,,,,,,,,,,,
,,,,,,,,14500,,,,,,,,,,,,,,,
,,,,,,,,16000,,,,,,,,,,,,,,,
"Level23","TID_LEVEL_SCHOOL","sc/levels.sc","level_gym_01",,"Playlist1",,,100,5005,,1,1,,,,,,,,,,,
,,,,,,,,15000,,,,,,,,,,,,,,,
,,,,,,,,16000,,,,,,,,,,,,,,,
"Level24","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,100,5321,,1,1,,,,,,,,,,,
,,,,,,,,11500,,,,,,,,,,,,,,,
,,,,,,,,13000,,,,,,,,,,,,,,,
"Level25","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01","GreenSkill","Playlist1",,,100,5,"TRUE",1,1,,,1,20,1,1,1,,,,
,,,,,,,,18000,,,,,,,,,,,,,,,
,,,,,,,,19000,,,,,,,,,,,,,,,
"Level26","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,100,,,1,1,,,,,,,,,,,
,,,,,,,,7100,,,,,,,,,,,,,,,
,,,,,,,,8000,,,,,,,,,,,,,,,
"Level27","TID_LEVEL_SCHOOL","sc/levels.sc","level_library_01",,"Playlist1",,,100,2026,,1,1,,,,,,,,,,,
,,,,,,,,8700,,,,,,,,,,,,,,,
,,,,,,,,8900,,,,,,,,,,,,,,,
"Level28","TID_LEVEL_SCHOOL","sc/levels.sc","level_library_01",,"Playlist1",,,100,2436,,1,1,,,,,,,,,,,
,,,,,,,,8300,,,,,,,,,,,,,,,
,,,,,,,,8500,,,,,,,,,,,,,,,
"Level29","TID_LEVEL_SCHOOL","sc/levels.sc","level_library_01",,"Playlist1",,,100,24361,,1,1,,,,,,,,,,,
,,,,,,,,4300,,,,,,,,,,,,,,,
,,,,,,,,4600,,,,,,,,,,,,,,,
"Level30","TID_LEVEL_SCHOOL","sc/levels.sc","level_library_01","RedSkill","Playlist1",,,100,2026,"TRUE",1,1,,,25,1,1,1,1,,,,
,,,,,,,,10000,,,,,,,,,,,,,,,
,,,,,,,,11000,,,,,,,,,,,,,,,
"Level31","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,1000,8029,,1,1,,,,,,,,,,,
,,,,,,,,5000,,,,,,,,,,,,,,,
,,,,,,,,5900,,,,,,,,,,,,,,,
"Level32","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01",,"Playlist1",,,1100,75,,1,1,,,,,,,,,,,
,,,,,,,,12000,,,,,,,,,,,,,,,
,,,,,,,,12500,,,,,,,,,,,,,,,
"Level33","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,550,153232,,1,1,,,,,,,,,,,
,,,,,,,,9000,,,,,,,,,,,,,,,
,,,,,,,,10000,,,,,,,,,,,,,,,
"Level34","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01",,"Playlist1",,,800,5321,,1,1,,,,,,,,,,,
,,,,,,,,15000,,,,,,,,,,,,,,,
,,,,,,,,16200,,,,,,,,,,,,,,,
"Level35","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01","BlueSkill","Playlist1",,,100,3001,"TRUE",1,1,,,1,1,35,1,1,,,,
,,,,,,,,12500,,,,,,,,,,,,,,,
,,,,,,,,14000,,,,,,,,,,,,,,,
"Level36","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01",,"Playlist1",,,100,99142,,1,1,,"Gate2",,,,,,,,,
,,,,,,,,7250,,,,,,,,,,,,,,,
,,,,,,,,7500,,,,,,,,,,,,,,,
"Level37","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01",,"Playlist1",,,100,9214,,1,1,,,,,,,,,,,
,,,,,,,,9500,,,,,,,,,,,,,,,
,,,,,,,,10500,,,,,,,,,,,,,,,
"Level38","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01",,"Playlist1",,,100,96532,,1,1,,,,,,,,,,,
,,,,,,,,9400,,,,,,,,,,,,,,,
,,,,,,,,9600,,,,,,,,,,,,,,,
"Level39","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01",,"Playlist1",,,100,9643,,1,1,,,,,,,,,,,
,,,,,,,,12500,,,,,,,,,,,,,,,
,,,,,,,,13000,,,,,,,,,,,,,,,
"Level40","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01","YellowSkill","Playlist1",5,"Musician",100,1,"TRUE",1,1,,,1,1,1,50,1,,,,"TRUE"
,,,,,,,"Nerd",3400,,,,,,,,,,,,,,,
,,,,,,,"NightGuard",3700,,,,,,,,,,,,,,,
,,,,,,,"GymLady",,,,,,,,,,,,,,,,
,,,,,,,"Scientist",,,,,,,,,,,,,,,,
"Level41","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",5,"Musician",100,812,,1,1,,,,,,,,,,,
,,,,,,,"Nerd",7500,,,,,,,,,,,,,,,
,,,,,,,"NightGuard",8900,,,,,,,,,,,,,,,
,,,,,,,"GymLady",,,,,,,,,,,,,,,,
,,,,,,,"Scientist",,,,,,,,,,,,,,,,
"Level42","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01",,"Playlist1",5,"Musician",100,85132,,1,1,,,,,,,,,,,
,,,,,,,"Nerd",6500,,,,,,,,,,,,,,,
,,,,,,,"NightGuard",6700,,,,,,,,,,,,,,,
,,,,,,,"GymLady",,,,,,,,,,,,,,,,
,,,,,,,"Scientist",,,,,,,,,,,,,,,,
"Level43","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",5,"Musician",100,52,,1,1,,,,,,,,,,,
,,,,,,,"Nerd",6500,,,,,,,,,,,,,,,
,,,,,,,"NightGuard",6800,,,,,,,,,,,,,,,
,,,,,,,"GymLady",,,,,,,,,,,,,,,,
,,,,,,,"Scientist",,,,,,,,,,,,,,,,
"Level44","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01",,"Playlist1",5,"Musician",100,74321,,1,1,,,,,,,,,,,
,,,,,,,"Nerd",10350,,,,,,,,,,,,,,,
,,,,,,,"NightGuard",11000,,,,,,,,,,,,,,,
,,,,,,,"GymLady",,,,,,,,,,,,,,,,
,,,,,,,"Scientist",,,,,,,,,,,,,,,,
"Level45","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02","PurpleSkill","Playlist1",5,"Musician",100,5321,"TRUE",1,1,,,1,1,1,1,30,,,,
,,,,,,,"Nerd",6800,,,,,,,,,,,,,,,
,,,,,,,"NightGuard",8000,,,,,,,,,,,,,,,
,,,,,,,"GymLady",,,,,,,,,,,,,,,,
,,,,,,,"Scientist",,,,,,,,,,,,,,,,
"Level46","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01",,"Playlist1",,,100,79421,,1,1,,,,,,,,,,,
,,,,,,,,14000,,,,,,,,,,,,,,,
,,,,,,,,15200,,,,,,,,,,,,,,,
"Level47","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,100,7113,,1,1,,,,,,,,,,,
,,,,,,,,22000,,,,,,,,,,,,,,,
,,,,,,,,25000,,,,,,,,,,,,,,,
"Level48","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_01",,"Playlist1",,,100,36983,,1,1,,,,,,,,,,,
,,,,,,,,14000,,,,,,,,,,,,,,,
,,,,,,,,15500,,,,,,,,,,,,,,,
"Level49","TID_LEVEL_SCHOOL","sc/levels.sc","level_campus_outdoor_02",,"Playlist1",,,100,1970,,1,1,,,,,,,,,,,
,,,,,,,,9400,,,,,,,,,,,,,,,
,,,,,,,,10550,,,,,,,,,,,,,,,
"Level50","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01",,"Playlist1",,,100,4007,,1,1,,,,,,,,,,,
,,,,,,,,24000,,,,,,,,,,,,,,,
,,,,,,,,24500,,,,,,,,,,,,,,,
"Level51","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_outdoor_01",,"Playlist1",,,100,1578,,1,1,,"Gate3",,,,,,,,,
,,,,,,,,2100,,,,,,,,,,,,,,,
,,,,,,,,2300,,,,,,,,,,,,,,,
"Level52","TID_LEVEL_SCHOOL","sc/levels.sc","level_arcade_01",,"Playlist1",,,100,1842,,1,1,,,,,,,,,,,
,,,,,,,,8400,,,,,,,,,,,,,,,
,,,,,,,,8660,,,,,,,,,,,,,,,
"Level53","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_indoor_01",,"Playlist1",,,100,19842,,1,1,,,,,,,,,,,
,,,,,,,,7600,,,,,,,,,,,,,,,
,,,,,,,,8250,,,,,,,,,,,,,,,
