Name,TID,AppearEffect,SWF,ExportNameAppear,ExportNameIdle,ExportNameMove,ExportNamePrepareAttack,ExportNameAttack,AttackDelayMS,ExportNameSpecial,ExportNamePrepareSpecial,ExportNameReceiveDamage,ExportNameDie,ExportNameDisappear,ExportNamePreSpawn,ExportNameSpawn,CageExportName,DieEffect,AttackType,SpecialMove,Health,Shield,Width,Reach,BlockBeam,Obstacle,TurnScript,HitScript,DieScript,ReachScript,AlignToBottom,Energy,TurnsToLive,Score,MaxSpawnCount,SpawnDelayMS,FaceExportNames,
String,String,String,String,String,String,String,String,String,int,String,String,String,String,String,String,String,String,String,String,String,int,int,int,int,boolean,boolean,String,String,String,String,boolean,int,int,int,int,int,String,
Basic_Baby,TID_MONSTER_6,Match,sc/monsters.sc,ghost_baby_appear,ghost_baby_idle,ghost_baby_move,ghost_baby_preAttack,ghost_baby_attack,200,ghost_baby_attack,ghost_baby_idle,ghost_baby_damage,ghost_baby_die,,,,CageSmall,GhostDie,BasicMeleeAttack1,,15,,1,1,,,DOWN,,,ATTACK1,TRUE,,,20,,,,
Basic_Teen,TID_MONSTER_7,Match,sc/monsters.sc,ghost_teen_appear,ghost_teen_idle,ghost_teen_move,ghost_teen_preAttack,ghost_teen_attack,200,ghost_teen_attack,ghost_teen_idle,ghost_teen_damage,ghost_teen_die,,,,CageSmall,GhostDieGreen,BasicMeleeAttack1,,30,,1,1,,,DOWN,,,ATTACK1,TRUE,,,30,,,,
Basic_Adult,TID_MONSTER_1,Match,sc/monsters.sc,ghost_basic_appear,ghost_basic_idle,ghost_basic_move,ghost_basic_preAttack,ghost_basic_attack,200,ghost_basic_attack,ghost_basic_idle,ghost_basic_damage,ghost_basic_die,,,,CageMedium,GhostDie,BasicMeleeAttack2,,45,,1,1,,,DOWN,,,ATTACK1,TRUE,,,60,,,,
Fat,TID_MONSTER_5,Match,sc/monsters.sc,ghost_fat_appear,ghost_fat_idle,ghost_fat_move,ghost_fat_preAttack,ghost_fat_attack,550,ghost_fat_attack,ghost_fat_preAttack,ghost_fat_damage,ghost_fat_die,,,,CageWide,GhostDiePink,BasicMeleeAttack1,,180,,2,1,,,DOWN,,,ATTACK1,TRUE,,,100,,,,
FireHead_Adult,TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_appear,ghost_range_idle,ghost_range_move,ghost_range_preAttack,ghost_range_attack,550,ghost_range_idle,ghost_range_idle,ghost_range_damage,ghost_range_die,,,,CageMedium,GhostDie,RangedAttackOrange,,45,,1,10,,,DOWN,,,PREPARE,TRUE,,,60,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
PinkHead_(RightLeft),TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_move_appear,ghost_range_move_idle,ghost_range_move_move,ghost_range_move_preAttack,ghost_range_move_attack,550,ghost_range_move_attack,ghost_range_move_idle,ghost_range_move_damage,ghost_range_move_die,,,,CageMedium,GhostDie,RangedAttackPink,,45,,1,10,,,DOWN,,,RIGHT,TRUE,,,60,,,range_move_face_idle,
,,,,,ghost_range_move_idle_left,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,range_move_face_idle_1,
,,,,,ghost_range_move_idle_right,,,,,,,,ExportNameDie,,,,,,,,,,,,,,,,,LEFT,,,,,,,range_move_face_idle_2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PinkHead_(LeftRight),TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_move_appear,ghost_range_move_idle,ghost_range_move_move,ghost_range_move_preAttack,ghost_range_move_attack,550,ghost_range_move_attack,ghost_range_move_idle,ghost_range_move_damage,ghost_range_move_die,,,,CageMedium,GhostDie,RangedAttackPink,,45,,1,10,,,DOWN,,,LEFT,TRUE,,,60,,,range_move_face_idle,
,,,,,ghost_range_move_idle_left,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,range_move_face_idle_1,
,,,,,ghost_range_move_idle_right,,,,,,,,ExportNameDie,,,,,,,,,,,,,,,,,RIGHT,,,,,,,range_move_face_idle_2,
