Name,ParticleCount,EmissionTime,MinLife,MaxLife,MinAngle,MaxAngle,MinSpeed,MaxSpeed,StartZ,Gravity,Inertia,StartScale,EndScale,MinRotate,MaxRotate,FadeOutTime,StartRadius,DepthEffect,TargetMagnet,ParticleSWF,ParticleExportName,OrientToMovement,OrientToParent,BounceFromGround,AdditiveBlend
String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,String,boolean,boolean,boolean,boolean
Match,10,20,300,500,0,360,1000,2000,,0,2000,100,1,-60,60,200,5,,,sc/blocks.sc,BlockBlueParticle1,,,,
BlueMatch,1,20,300,500,0,360,1000,2000,,0,2000,80,1,-30,30,200,5,,,sc/blocks.sc,BlockBlueParticle1,,,,
RedMatch,1,20,300,500,0,360,1000,2000,,0,2000,80,1,-30,30,200,5,,,sc/blocks.sc,BlockRedParticle1,,,,
GreenMatch,1,20,300,500,0,360,1000,2000,,0,2000,80,1,-30,30,200,5,,,sc/blocks.sc,BlockGreenParticle1,,,,
PurpleMatch,1,20,300,500,0,360,1000,2000,,0,2000,80,1,-30,30,200,5,,,sc/blocks.sc,BlockPurpleParticle1,,,,
YellowMatch,1,20,300,500,0,360,1000,2000,,0,2000,80,1,-30,30,200,5,,,sc/blocks.sc,BlockYellowParticle1,,,,
GlassShatter1,4,20,300,500,0,360,1000,2000,,0,1000,140,1,-60,60,200,5,,,sc/blocks.sc,GlassShard1,,,,TRUE
GlassShatter2,4,20,300,500,0,360,1000,2000,,0,1000,140,1,-60,60,200,5,,,sc/blocks.sc,GlassShard2,,,,TRUE
GlassShatter3,4,20,300,500,0,360,1000,2000,,0,1000,140,1,-60,60,200,5,,,sc/blocks.sc,GlassShard3,,,,TRUE
ArrowsUp,8,600,600,1500,-70,-110,300,800,0,-50,600,75,175,0,0,600,30,,,sc/effects.sc,ArrowUpParticleBlue,,,,TRUE
CrossParticle,7,800,1200,1700,-130,-50,100,170,40,-100,200,50,150,0,0,500,,,,sc/effects.sc,CrossParticleGreen,,,,TRUE
SmallPuff,5,20,300,500,0,360,1000,2000,,0,1000,60,1,-60,60,200,5,,,sc/effects.sc,CloudParticle01,,,,
,,,,,,,,,,,,,,,,,,,,,CloudParticle02,,,,
,,,,,,,,,,,,,,,,,,,,,CloudParticle03,,,,
PinkSparks,10,10,300,500,0,360,1000,2000,,0,50,80,1,0,0,200,150,,,sc/effects.sc,PinkSparkParticle,,,,TRUE
GhostDieGoo,3,10,300,500,0,360,100,400,,0,50,100,1,0,0,200,150,,,sc/effects.sc,GhostDieGoo,,,,
FanDust,10,1000,500,1000,0,0,100,170,40,-8000,2000,10,70,0,360,500,50,200,,sc/effects.sc,CloudParticle01,,,,
,,,,,,,,,,,,,,,,,,,,,CloudParticle02,,,,
,,,,,,,,,,,,,,,,,,,,,CloudParticle03,,,,
FanParticle,6,1000,500,1000,0,0,100,170,40,-8000,1000,10,70,0,360,500,50,,,sc/effects.sc,FanParticle,,,,
SnowFlakes,8,1000,500,1000,0,0,100,170,40,-1000,1000,10,70,0,360,500,50,,,sc/effects.sc,SnowFlake01,,,,
,,,,,,,,,,,,,,,,,,,,,SnowFlake02,,,,
,,,,,,,,,,,,,,,,,,,,,SnowFlake03,,,,
RangeAmber,12,2483,300,2000,-120,-60,10,40,40,-600,1000,100,30,0,0,500,50,,,sc/effects.sc,GhostRangeChargeAmber,,,,TRUE
