"Name",0,1,2,3,4,5,6
"String","int","int","int","int","int","int","int"
"Level1",4,5,3,2,4,2,5
,5,3,4,5,3,4,5
,4,4,5,2,5,3,3
,5,2,3,3,2,5,2
,5,5,2,5,4,4,5
"Tutorial1_Mask",0,0,0,0,0,0,0
,0,0,0,1,0,0,0
,0,0,1,1,1,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial1_Mask02",0,0,0,0,0,0,0
,0,0,0,1,0,0,0
,0,1,1,1,1,1,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial1_Mask2",0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,1,1,1,1,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial1_Mask3",0,0,0,0,0,0,0
,0,1,0,0,0,0,0
,1,1,1,1,1,1,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial1_Mask4",0,0,0,0,0,0,0
,0,1,1,1,1,0,0
,1,1,1,1,1,1,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial2_Mask",0,0,0,0,0,0,0
,0,0,1,0,0,0,0
,0,1,1,1,1,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial2_Mask2",0,0,0,0,0,0,0
,0,0,0,0,0,1,0
,0,1,1,1,1,1,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial3_Mask",0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,1,1,1,1,0,0,0
,0,1,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial3_Mask2",0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,1,0
,0,0,0,0,1,1,1
,0,0,0,0,0,0,0
"Tutorial3_Mask3",0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,1,0,0,0
,0,1,1,1,1,1,1
,0,0,0,0,0,0,0
"Tutorial3_Mask4",0,0,0,0,0,0,0
,0,0,1,0,0,0,0
,1,1,1,0,0,0,0
,0,1,1,1,1,1,1
,0,0,0,0,0,0,0
"Tutorial3_Mask5",0,1,1,1,0,0,0
,0,0,1,0,0,0,0
,1,1,1,0,0,0,0
,0,1,1,1,1,1,1
,0,0,0,0,0,0,0
"Tutorial3_Mask6",0,1,1,1,1,0,0
,0,0,0,1,1,0,0
,1,1,1,0,1,0,0
,0,1,1,1,1,1,1
,0,0,0,0,0,0,0
"Tutorial4_Mask",0,0,0,0,1,0,0
,0,0,0,1,1,1,0
,0,0,0,0,1,0,0
,0,0,0,0,1,0,0
,0,0,0,0,0,0,0
"Tutorial4_Mask2",0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,1,1,0,0,0,0,0
,1,0,0,0,0,0,0
,1,0,0,0,0,0,0
"Level2",2,4,1,2,1,1,1
,3,1,3,3,2,2,1
,1,3,1,2,1,1,1
,2,1,2,1,3,3,1
,2,3,2,2,1,1,1
"Level3",5,4,5,4,3,4,3
,4,5,3,2,4,3,4
,3,3,5,4,5,5,3
,4,3,4,3,4,3,4
,3,4,3,4,3,4,2
"Level4",3,2,2,3,2,2,1
,1,2,1,1,3,3,1
,2,1,2,3,2,2,1
,3,2,3,2,1,1,1
,3,1,3,3,2,2,1
"Level5",2,3,2,3,1,4,1
