"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","IsMusic","MaxRepeatFrequency"
"String","String","int","int","int","int","boolean","int"
"ButtonClick","sfx/Button_click_13.wav",60,60,100,100,,
"Music01","music/ingame_music_01.mp3",60,60,,,"TRUE",
"Music02","music/ingame_music_02.mp3",60,60,,,"TRUE",
"Music03","music/ingame_music_03.mp3",60,60,,,"TRUE",
"Music04","music/ingame_music_04.mp3",60,60,,,"TRUE",
"Music05","music/ingame_music_05.mp3",60,60,,,"TRUE",
"Music06","music/ingame_music_06.mp3",60,60,,,"TRUE",
"Music07","music/ingame_music_07.mp3",60,60,,,"TRUE",
"MapMusic","music/ghost_map_02.mp3",60,60,,,"TRUE",
"Complete Music","music/ghost_win_loop_01.mp3",60,60,,,"TRUE",
"Level Failed","sfx/epic_noob_fail_01.wav",70,70,100,100,,
"Level Complete","sfx/level_complete_02.wav",70,70,100,100,,
"Tutmusic","music/ghost_tutorial_01.mp3",60,60,,,"TRUE",
"Loading jingle","sfx/phoenix_loading_01.wav",40,40,100,100,,1
"PuzzleBlockSwap","sfx/move_piece_01v5.wav",70,70,95,105,,
"MoveCancelled","sfx/Button_click_06.wav",80,80,100,100,,
"Combo","sfx/cp03v3_rev.wav",40,40,110,110,,
,"sfx/cp03v3_rev.wav",40,40,120,120,,
,"sfx/cp03v3_rev.wav",40,40,130,130,,
,"sfx/cp03v3_rev.wav",40,40,140,140,,
,"sfx/cp03v3_rev.wav",40,40,150,150,,
,"sfx/cp03v3_rev.wav",40,40,160,160,,
,"sfx/cp03v3_rev.wav",40,40,170,170,,
,"sfx/cp03v3_rev.wav",40,40,180,180,,
"Tock 1","sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
,"sfx/timer_short_03v4long.wav",65,65,100,100,,
"Connect piece","sfx/connect_01v2.wav",50,50,100,100,,
,"sfx/connect_02v2.wav",50,50,100,100,,
,"sfx/connect_03v2.wav",50,50,100,100,,
,"sfx/connect_04v2.wav",50,50,100,100,,
,"sfx/connect_05v2.wav",50,50,100,100,,
,"sfx/connect_06v2.wav",50,50,100,100,,
,"sfx/connect_07v2.wav",50,50,100,100,,
,"sfx/connect_08v2.wav",50,50,100,100,,
,"sfx/connect_09v2.wav",50,50,100,100,,
,"sfx/connect_10v2.wav",50,50,100,100,,
,"sfx/connect_10v2.wav",50,50,100,100,,
,"sfx/connect_10v2.wav",50,50,112,112,,
,"sfx/connect_10v2.wav",50,50,126,126,,
,"sfx/connect_10v2.wav",50,50,133,133,,
,"sfx/connect_10v2.wav",50,50,150,150,,
"Tonal combo","sfx/ghost_pop_01v94.wav",40,40,100,100,,
,"sfx/ghost_pop_01v94.wav",40,40,102,102,,
,"sfx/ghost_pop_01v94.wav",40,40,104,104,,
,"sfx/ghost_pop_01v94.wav",40,40,106,106,,
,"sfx/ghost_pop_01v94.wav",40,40,108,108,,
,"sfx/ghost_pop_01v94.wav",40,40,110,110,,
,"sfx/ghost_pop_01v94.wav",40,40,112,112,,
"Sizzle","sfx/dummy_01.wav",1,1,80,80,,
"Select piece","sfx/select_piece_03.wav",70,70,100,100,,
"Count coins","sfx/coin_count_01.wav",60,60,95,105,,
"Jump","sfx/jump3.wav",40,40,100,100,,
"Hit","sfx/shoot_ghost_02.wav",50,50,95,105,,
"Die","sfx/whooshv7.wav",60,60,95,105,,2
"Level start","sfx/level_start_01.wav",75,75,100,100,,
"get hit","sfx/dummy_01.wav",45,45,98,102,,1
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
"advance","sfx/dummy_01.wav",45,45,98,102,,5
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
,"sfx/dummy_01.wav",45,45,98,102,,
"TID_COMBO_SPLASH1","sfx/voc_spooky_02.wav",65,65,100,100,,
"TID_COMBO_SPLASH2","sfx/voc_booyah_02.wav",65,65,100,100,,
"TID_COMBO_SPLASH3","sfx/voc_unreal_02.wav",65,65,100,100,,
"TID_COMBO_SPLASH4","sfx/voc_yikes_02.wav",65,65,100,100,,
"TID_COMBO_SPLASH5","sfx/voc_monstrous_01.wav",65,65,100,100,,
"ghost_die","sfx/ghost_die_splat_07.wav",70,70,97,103,,5
"use_item","sfx/get_powerup_05.wav",50,50,100,100,,
"disco_time","sfx/dummy_01.wav",1,1,80,80,,
"call shrink","sfx/dummy_01.wav",1,1,80,80,,
"mirror","sfx/dummy_01.wav",1,1,80,80,,
"fan","sfx/dummy_01.wav",1,1,80,80,,
"freeze","sfx/freeze_01.wav",50,50,100,100,,
"cat","sfx/dummy_01.wav",1,1,80,80,,
"scratch","sfx/dummy_01.wav",1,1,80,80,,
"flute","sfx/dummy_01.wav",1,1,80,80,,
"ghost attack","sfx/ghost_attack_05.wav",45,45,100,100,,5
,"sfx/ghost_attack_05.wav",45,45,100,100,,
,"sfx/ghost_attack_05.wav",45,45,100,100,,
,"sfx/ghost_attack_05.wav",45,45,100,100,,
"micheal hurt","sfx/micheal_hurt_01.wav",45,45,98,102,,
,"sfx/micheal_hurt_02.wav",45,45,98,102,,
,"sfx/micheal_hurt_03.wav",45,45,98,102,,
