"Name","SWF","ExportName","TutorialTitleTID","TutorialTextTID","Level","Wave","Turn","DragEvent","NextStep","ValidateMove","ValidMoveFromX","ValidMoveFromY","ValidMoveToX","ValidMoveToY","DialogPosition","DialogExportName","Puzzle","BlockTimer","Sound","HeroSwap","PuzzleMask","MaskColor"
"String","String","String","String","String","int","int","int","int","String","Boolean","int","int","int","int","String","String","String","Boolean","String","Int","String","String"
"Tutorial_Level1","sc/tutorial.sc",,"TID_TUTORIAL1_TITLE","TID_TUTORIAL1_TEXT",1,1,0,-1,"Tutorial_Level1b","FALSE",,,,,"BottomLeft","Tut_Scientist",,,"Prof speech 1",0,,
"Tutorial_Level1b","sc/tutorial.sc",,,"TID_TUTORIAL1B_TEXT",1,1,0,0,,"TRUE",3,1,3,2,"BottomCenter","Tut_Instruction",,,"Sizzle",0,"Tutorial1_Mask",88000000
,,,,,,,,0,,,3,2,3,1,,,,,,,,
"Tutorial_Level1c","sc/tutorial.sc",,"TID_TUTORIAL1_TITLE","TID_TUTORIAL1C_TEXT",1,2,0,0,,"TRUE",3,1,3,2,"Center","Tut_Instruction2_5blocks","L1Wave2",,"Sizzle",0,"Tutorial1_Mask02",88000000
,,,,,,,,0,,,3,2,3,1,,,,,,,,
"Tutorial_Level2","sc/tutorial.sc",,"TID_TUTORIAL2_TITLE","TID_TUTORIAL2_TEXT",2,1,0,,"Tutorial_Level2b","FALSE",,,,,"BottomRight","Tut_Scientist_Right",,,"Prof speech 3",0,,
"Tutorial_Level2b",,,,,2,2,0,,,"FALSE",,,,,,,"L2Wave2",,,,,
"Tutorial_Level3","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL3_TEXT",3,1,0,-1,"Tutorial_Level3b","FALSE",,,,,"BottomRight","Tut_Guard_Right","Tutorial1",,"Security lady speech 1",0,,
"Tutorial_Level3b","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL3b_TEXT",3,1,0,-1,"Tutorial_Level3c","FALSE",,,,,"BottomLeft","Tut_Scientist",,,"Prof speech 2",0,,
"Tutorial_Level3c","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL3c_TEXT",3,1,0,0,,"TRUE",2,1,2,2,"BottomCenter","Tut_Instruction2c",,"true","Sizzle",0,"Tutorial2_Mask",88000000
,,,,,,,,0,,,2,2,2,1,,,,,,,,
"GhostIntro1","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_GHOST_INTRO2_TEXT",4,1,0,,,"FALSE",,,,,"BottomRight","Tut_Guard_Right","L4Wave1",,"Security lady speech 3",0,,
"Tutorial_Level4","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL4_TEXT",4,1,1,,,"FALSE",,,,,"Center","Tut_Instruction_GameOver",,,"Sizzle",0,,
"Tutorial_Level5","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL5_TEXT1",5,1,0,,"Tutorial_Level5b","FALSE",,,,,"BottomRight","Tut_Guard_Right","L5Wave1",,"Security lady speech 1",0,,
"Tutorial_Level5b","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL5_TEXT2",5,1,0,,"Tutorial_Level5c","FALSE",,,,,"BottomLeft","Tut_Dog1",,,"Dog 4",0,,
"Tutorial_Level5c","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL5_TEXT3",5,1,0,,,"FALSE",,,,,"BottomRight","Tut_GuardDog",,,"Security lady speech 5",0,,
"Tutorial_Level5d",,,,,5,2,0,,,"FALSE",,,,,,,"L5Wave2",,,,,
"Tutorial6","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL6_TEXT",6,1,0,-1,"Tutorial6b","FALSE",,,,,"BottomLeft","Tut_Scientist_Left",,,"Prof speech 5",0,,
"Tutorial6b","sc/tutorial.sc",,,"TID_TUTORIAL6_TEXT_2",6,1,0,0,,"TRUE",2,2,3,2,"BottomCenter","Tut_Instruction2",,"true","Sizzle",0,"Tutorial1_Mask2",88000000
,,,,,,,,0,,,3,2,2,2,,,,,,,,
"Tutorial6c","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_TUTORIAL6_TEXT_3",6,1,0,1,,"TRUE",2,1,2,2,"BottomCenter","Tut_Instruction2c",,"true","Sizzle",0,"Tutorial8_Mask",88000000
,,,,,,,,1,,,2,2,2,1,,,,,,,,
"GhostIntro2","sc/tutorial.sc",,"TID_TUTORIAL3_TITLE","TID_GHOST_INTRO6_TEXT",7,1,0,,,"FALSE",,,,,"BottomLeft","Tut_Dog1",,,"Dog 3",0,,
"Tutorial17","sc/tutorial.sc",,,"TID_TUTORIAL17_TEXT",8,1,0,-1,"Tutorial17b","FALSE",,,,,"BottomLeft","Tut_Scientist","L8Wave1",,"Prof speech 1",0,,
"Tutorial17b","sc/tutorial.sc","swap_counter",,"TID_TUTORIAL17B_TEXT",8,1,0,0,"Tutorial17c","FALSE",,,,,"BottomRight","Tut_Guard_Right",,,"Security lady speech 3",0,,
"Tutorial17c","sc/tutorial.sc",,,"TID_TUTORIAL17C_TEXT",8,1,0,0,"Tutorial17d","FALSE",,,,,"BottomRight","Tut_Guard_Right2",,,"Security lady speech 1",0,,
"Tutorial17d","sc/tutorial.sc",,,"TID_TUTORIAL17D_TEXT",8,1,0,,,,,,,,"BottomCenter","Tut_Instruction4",,,"Prof speech 6",1,,
,,,,,,,,,,,,,,,,,,,,2,,
"GhostIntro9","sc/tutorial.sc",,,"TID_GHOST_INTRO9_TEXT",10,1,0,,"GhostIntro9b","FALSE",,,,,"BottomRight","Tut_Scientist_Right",,,"Prof speech 6",0,,
"GhostIntro9b","sc/tutorial.sc",,,"TID_GHOST_INTRO9B_TEXT",10,1,0,,,"FALSE",,,,,"BottomLeft","Tut_Dog1",,,"Dog 1",0,,
