"Monsters",,,,
,"Name","Wave","x","y"
,"string","int","int","int"
,"Wall",,1,3
,"Wall",,1,
,"Spawner_Adult_(Moving)_2",,1,4
,"Wall",,2,7
,"Wall",,2,
,"Barrel",,2,6
,"Wall",,2,3
,"Wall",,2,8
,"Firehead_Child",,2,2
,"PinkHead_(LeftRight)",,2,1
,"Wall",,3,5
,"Wall",,3,
,"Spawner_Adult_(Moving)_2",,3,6
,"Barrel",,3,4
,"Wall",,3,3
,"Firehead_Child",,3,2
,"PinkHead_(LeftRight)",,3,1
,"Wall",,4,5
,"Wall",,4,
,"Wall",,4,3
,"Firehead_Child",,4,2
,"PinkHead_(LeftRight)",,4,1
,"Basic_Adult",1,,3
,"Basic_Adult",1,,4
,"Basic_Adult",1,,5
,"Basic_Adult",1,,6
,"Basic_Adult",1,,2
,"Bomb",1,,1
,"Wall",1,,
,"Wall",1,1,
,"Wall",1,1,6
,"Bomb",1,1,5
,"Spawner_Adult_(Moving)_3",1,1,1
,"Wall",1,2,
,"Wall",1,2,6
,"Bomb",1,2,5
,"Wall",1,3,
,"Wall",1,3,6
,"Bomb",1,3,5
,"Spawner_Adult_(Moving)_3",1,3,3
,"Wall",1,4,
,"Wall",1,4,6
,"Bomb",1,4,5
